dest_ip,metadata_comment
20.47.98.0/24,AS8069
20.157.126.0/24,AS8069 IPv4
2620:1ec:45::/48,AS8068 IPv6
20.157.117.0/24,AS8069
20.157.157.0/24,AS8069
45.156.164.0/24,AS8075 IPv4
104.40.0.0/13,AS8075
20.157.127.0/24,AS8069
20.33.39.0/24,AS8069
149.204.0.0/16,AS8075 IPv4
20.47.28.0/24,AS8069 IPv4
20.157.45.0/24,AS8069
20.33.18.0/24,AS8069
135.149.0.0/16,AS8075 IPv4
20.33.163.0/24,AS8069 IPv4
40.66.0.0/17,AS8075
185.154.81.0/24,AS8075 IPv4
74.116.254.0/24,AS8075 IPv4
199.0.185.0/24,AS8075 IPv4
20.33.172.0/24,AS8069 IPv4
20.33.182.0/24,AS8069
20.33.15.0/24,AS8069
192.84.161.0/24,AS8075 IPv4
170.114.39.0/24,AS8075 IPv4
20.157.127.0/24,AS8069 IPv4
2620:1ec:c::/48,AS8068
20.33.178.0/24,AS8069
13.107.42.0/24,AS8068 IPv4
198.8.73.0/24,AS8075 IPv4
20.33.79.0/24,AS8069
20.157.80.0/22,AS8069
40.17.0.0/16,ASN not found
20.33.53.0/24,AS8069
20.153.133.0/24,AS8069 IPv4
20.153.141.0/24,AS8069 IPv4
20.143.0.0/16,AS8075 IPv4
161.221.2.0/24,AS8075 IPv4
137.117.0.0/16,AS8075 IPv4
84.223.0.0/16,AS8075 IPv4
216.32.180.0/22,AS8075 IPv4
52.122.72.0/21,AS8069 IPv4
54.128.0.0/16,ASN not found
157.56.0.0/16,AS8075 IPv4
51.116.0.0/16,AS8075 IPv4
40.126.0.0/18,AS8075
4.192.0.0/12,AS8075
167.162.0.0/16,AS8075
20.157.241.0/24,AS8069 IPv4
20.153.194.0/23,AS8069 IPv4
192.28.24.0/24,AS8075 IPv4
20.128.0.0/16,ASN not found
20.33.148.0/24,AS8069 IPv4
199.65.29.0/24,AS8075 IPv4
65.52.0.0/14,AS8075
20.157.129.0/24,AS8069 IPv4
20.157.31.0/24,AS8069
209.240.192.0/19,AS8075
20.33.69.0/24,AS8069
52.122.104.0/21,AS8069
20.157.90.0/24,AS8069
128.85.0.0/16,AS8075 IPv4
142.0.188.0/24,AS8075 IPv4
20.157.230.0/24,AS8069 IPv4
134.170.0.0/16,AS8075 IPv4
2620:1ec:8fc::/48,AS8068
68.154.0.0/15,AS8075 IPv4
52.122.244.0/24,AS8069 IPv4
2607:a940:a100::/48,AS8075 IPv6
20.33.196.0/24,AS8069 IPv4
2603:1061:6::/48,AS8075
20.157.161.0/24,AS8069 IPv4
13.107.5.0/24,AS8068 IPv4
104.47.19.0/24,AS8075 IPv4
20.157.95.0/24,AS8069
108.161.110.0/24,AS8075 IPv4
20.157.76.0/22,AS8069 IPv4
158.53.0.0/16,AS8075 IPv4
20.157.121.0/24,AS8069 IPv4
2404:f801::/32,AS3598 IPv6
20.33.217.0/24,AS8069 IPv4
172.128.0.0/11,AS8075
2407:30c0:184::/48,AS8075 IPv6
20.157.99.0/24,AS8069 IPv4
20.157.158.0/24,AS8069 IPv4
135.117.0.0/16,ASN not found
13.100.10.0/23,AS3741
194.50.23.0/24,AS8075 IPv4
20.33.69.0/24,AS8069 IPv4
20.157.131.0/24,AS8069
20.157.137.0/24,AS8069 IPv4
20.33.43.0/24,AS8069
195.43.46.0/24,AS8075 IPv4
135.4.0.0/16,AS8075 IPv4
13.64.0.0/11,AS8075 IPv4
20.47.102.0/24,AS8069
207.46.36.0/22,AS8075
216.220.208.0/24,AS26222 IPv4
66.235.159.0/24,AS8075 IPv4
20.33.58.0/24,AS8069 IPv4
20.33.113.0/24,AS8069 IPv4
20.157.145.0/24,AS8069 IPv4
57.150.0.0/15,AS8075 IPv4
20.157.236.0/24,AS8069 IPv4
52.122.224.0/22,AS8069 IPv4
131.253.64.0/18,ASN not found
20.47.69.0/24,AS8069 IPv4
20.33.31.0/24,AS8069
20.157.118.0/24,AS8069
2620:1ec:13::/48,AS8068 IPv6
20.47.22.0/23,AS8069
20.203.0.0/17,AS8075 IPv4
217.11.173.0/24,AS8075 IPv4
20.33.212.0/24,AS8069 IPv4
62.12.61.0/24,AS8075 IPv4
13.107.49.0/24,AS8068
113.197.65.0/24,AS8075 IPv4
20.33.166.0/24,AS8069 IPv4
20.157.240.0/24,AS8069 IPv4
111.221.30.0/23,AS8075
198.180.97.0/24,AS8075 IPv4
20.157.0.0/16,AS8075 IPv4
20.47.86.0/24,AS8069
2620:1ec:909::/48,AS8068 IPv6
20.157.27.0/24,AS8069 IPv4
20.157.227.0/24,AS8069
