dest_ip,metadata_comment
138.68.16.0/20,AS14061
174.138.108.0/22,AS14061 IPv4
206.189.0.0/20,AS14061 IPv4
167.71.112.0/20,AS14061 IPv4
104.248.100.0/22,AS14061 IPv4
107.170.160.0/19,AS62567 IPv4
141.0.169.0/24,AS14061 IPv4
104.248.144.0/20,AS14061 IPv4
170.64.240.0/21,AS14061 IPv4
206.189.32.0/20,AS14061 IPv4
165.227.64.0/20,AS14061 IPv4
45.55.108.0/22,AS14061 IPv4
167.99.160.0/20,AS14061 IPv4
5.101.96.0/21,AS14061 IPv4
142.93.96.0/20,AS14061 IPv4
198.211.116.0/23,AS14061 IPv4
146.190.208.0/20,AS14061
142.93.208.0/20,AS14061
138.197.144.0/20,AS14061 IPv4
134.122.16.0/20,AS14061 IPv4
157.245.24.0/22,AS14061 IPv4
178.128.144.0/20,AS14061 IPv4
178.128.176.0/20,AS14061
159.203.152.0/22,AS14061
141.0.168.0/24,AS46652 IPv4
159.203.64.0/20,AS62567 IPv4
174.138.120.0/22,AS14061 IPv4
159.89.208.0/22,AS14061 IPv4
178.62.0.0/18,AS14061
178.128.140.0/22,AS14061 IPv4
157.230.112.0/20,AS14061 IPv4
138.197.176.0/20,AS14061 IPv4
134.209.176.0/20,AS14061 IPv4
147.182.224.0/20,AS14061
64.225.48.0/20,AS14061
45.55.100.0/22,AS14061 IPv4
159.203.208.0/20,AS14061 IPv4
134.209.128.0/22,AS14061
146.190.32.0/19,AS14061 IPv4
157.230.204.0/22,AS14061
147.182.128.0/20,AS14061 IPv4
137.184.240.0/22,AS14061 IPv4
104.248.128.0/20,AS14061 IPv4
165.22.16.0/20,AS14061 IPv4
134.199.184.0/22,AS14061 IPv4
188.166.128.0/22,AS14061
198.199.80.0/21,AS14061 IPv4
134.209.240.0/20,AS14061 IPv4
159.65.192.0/20,AS14061 IPv4
209.38.192.0/19,AS14061 IPv4
137.184.253.0/24,AS14061 IPv4
64.225.64.0/20,AS14061 IPv4
157.245.112.0/20,AS14061
134.199.188.0/22,AS14061 IPv4
178.128.128.0/17,ASN not found
192.241.160.0/19,AS14061 IPv4
165.22.80.0/20,AS14061 IPv4
68.183.96.0/20,AS14061 IPv4
138.197.16.0/20,AS14061 IPv4
209.38.160.0/22,AS14061
165.232.128.0/20,AS14061
157.230.72.0/22,AS14061
146.185.160.0/20,AS14061
165.22.176.0/20,AS14061 IPv4
143.244.217.0/24,AS14061 IPv4
46.101.72.0/21,AS14061
143.244.160.0/20,AS14061 IPv4
146.190.4.0/22,AS14061 IPv4
143.244.196.0/22,AS14061 IPv4
159.203.240.0/20,AS14061 IPv4
104.248.16.0/20,AS14061 IPv4
188.166.64.0/18,AS14061 IPv4
209.38.168.0/22,AS14061 IPv4
157.245.0.0/20,AS14061
64.225.96.0/20,AS14061 IPv4
143.198.128.0/20,AS14061 IPv4
167.172.128.0/20,AS14061 IPv4
134.199.224.0/20,AS14061 IPv4
198.211.118.0/23,AS14061 IPv4
2a03:b0c0:fffc::/48,AS14061
138.68.122.0/23,AS14061 IPv4
64.227.16.0/20,AS14061 IPv4
157.230.32.0/20,AS14061
2604:a880:4::/48,AS14061
167.99.176.0/20,AS14061
159.89.61.0/24,AS14061
167.71.0.0/16,ASN not found
159.223.112.0/20,AS14061 IPv4
161.35.16.0/20,AS14061 IPv4
104.131.176.0/20,AS14061
167.99.224.0/20,AS62567 IPv4
134.199.240.0/20,AS14061
188.166.200.0/22,AS14061
185.14.184.0/22,AS14061
178.128.80.0/20,AS14061
167.172.0.0/22,AS14061 IPv4
129.212.160.0/22,AS14061 IPv4
167.172.144.0/20,AS14061 IPv4
138.197.60.0/22,AS62567 IPv4
209.97.160.0/20,AS14061 IPv4
68.183.32.0/20,AS14061 IPv4
2604:a880:5::/48,AS14061 IPv6
2604:a880:cad::/48,AS394362 IPv6
144.126.192.0/18,ASN not found
45.55.124.0/22,AS14061
159.89.16.0/20,AS14061 IPv4
138.197.48.0/22,AS62567 IPv4
142.93.176.0/20,AS14061 IPv4
64.226.96.0/20,AS14061 IPv4
159.223.208.0/20,AS14061 IPv4
146.190.12.0/22,AS14061
165.227.96.0/20,AS14061 IPv4
104.131.160.0/20,AS14061
165.227.144.0/20,AS14061 IPv4
178.128.0.0/20,AS14061
164.90.208.0/20,AS14061 IPv4
161.35.244.0/22,AS14061
143.110.144.0/20,AS14061
174.138.116.0/22,AS14061 IPv4
167.71.128.0/20,AS14061
188.166.140.0/22,AS14061 IPv4
159.89.128.0/20,AS14061 IPv4
64.226.112.0/20,AS14061 IPv4
209.38.224.0/19,AS14061 IPv4
167.172.64.0/20,AS14061
69.55.48.0/22,AS14061
157.245.240.0/20,AS14061 IPv4
159.203.32.0/20,AS14061 IPv4
198.211.112.0/22,AS62567 IPv4
69.55.58.0/23,AS14061 IPv4
165.227.160.0/20,AS14061
159.89.64.0/20,AS14061 IPv4
159.65.160.0/20,AS62567 IPv4
167.99.208.0/20,AS14061 IPv4
46.101.0.0/18,AS14061 IPv4
128.199.16.0/20,AS14061
192.81.216.0/22,AS62567 IPv4
170.64.128.0/18,AS14061
198.199.88.0/22,AS62567 IPv4
206.189.208.0/20,AS14061 IPv4
64.23.144.0/20,AS14061
192.34.56.0/21,AS14061 IPv4
178.128.136.0/22,AS14061 IPv4
159.203.144.0/22,AS62567 IPv4
165.227.48.0/20,AS14061 IPv4
129.212.164.0/22,AS14061 IPv4
138.68.0.0/20,AS14061
144.126.192.0/20,AS14061
137.184.254.0/24,AS14061
174.138.112.0/22,AS14061 IPv4
206.189.224.0/20,AS14061 IPv4
178.128.96.0/20,AS14061
24.144.74.0/23,AS394996
192.81.208.0/21,AS14061 IPv4
206.189.252.0/22,AS14061
162.243.188.0/23,AS14061
192.241.128.0/19,AS14061 IPv4
178.128.192.0/20,AS14061
159.89.62.0/24,AS14061 IPv4
167.99.112.0/20,AS14061 IPv4
64.23.224.0/20,AS14061
146.190.160.0/20,AS14061 IPv4
159.203.96.0/20,AS14061
167.99.28.0/22,AS14061
45.55.0.0/19,AS14061
138.197.192.0/20,AS14061 IPv4
174.138.16.0/20,AS14061
24.199.80.0/20,AS14061 IPv4
68.183.248.0/22,AS14061
139.59.220.0/22,AS14061 IPv4
142.93.128.0/20,AS14061 IPv4
206.189.176.0/20,AS14061 IPv4
164.90.244.0/22,AS14061 IPv4
142.93.192.0/20,AS14061 IPv4
139.59.0.0/20,AS14061
138.68.48.0/20,AS14061 IPv4
165.227.248.0/22,AS14061
167.71.48.0/20,AS14061 IPv4
68.183.48.0/20,AS14061
128.199.128.0/18,AS14061 IPv4
64.227.0.0/20,AS14061
5.101.104.0/22,AS14061
159.223.0.0/20,AS14061 IPv4
143.244.176.0/20,AS14061 IPv4
157.245.80.0/20,AS14061 IPv4
137.184.192.0/20,AS14061 IPv4
157.230.96.0/20,AS14061 IPv4
5.42.203.0/24,AS14061
24.144.64.0/22,AS14061 IPv4
159.65.0.0/16,ASN not found
207.154.240.0/20,AS14061 IPv4
161.35.48.0/20,AS14061 IPv4
157.230.144.0/20,AS14061
143.198.208.0/20,AS14061
64.227.96.0/20,AS14061 IPv4
139.59.204.0/22,AS14061 IPv4
134.122.80.0/20,AS14061 IPv4
24.144.73.0/24,AS394996
165.227.208.0/20,AS62567 IPv4
69.55.49.0/24,AS14061
134.199.130.0/23,AS14061
95.85.0.0/18,AS14061 IPv4
159.65.212.0/22,AS14061 IPv4
134.199.132.0/22,AS14061 IPv4
128.199.0.0/16,ASN not found
144.126.224.0/20,AS14061 IPv4
159.203.148.0/22,AS62567 IPv4
198.199.124.0/22,AS14061 IPv4
209.38.56.0/22,AS14061
104.236.128.0/18,AS14061 IPv4
159.89.176.0/20,AS62567 IPv4
143.198.192.0/20,AS14061 IPv4
24.199.64.0/22,AS14061 IPv4
134.199.140.0/22,AS14061 IPv4
146.190.224.0/20,AS14061 IPv4
170.64.128.0/17,ASN not found
159.65.32.0/20,AS14061
159.89.59.0/24,AS14061 IPv4
138.197.240.0/22,AS14061
5.101.96.0/20,ASN not found
46.101.80.0/20,AS14061
167.172.96.0/20,AS14061 IPv4
137.184.128.0/20,AS14061 IPv4
167.99.0.0/20,AS62567 IPv4
64.225.80.0/22,AS14061 IPv4
164.92.160.0/20,AS14061
