dest_ip,metadata_comment
2a02:26f7:b504::/48,AS36183 IPv6
104.110.180.0/22,AS34164 IPv4
2a02:26f7:bdd4::/48,AS36183 IPv6
104.125.15.0/24,AS24319 IPv4
23.40.144.0/22,AS20940
172.226.195.0/24,AS36183 IPv4
95.101.56.0/22,AS16625
23.62.60.0/24,AS20940 IPv4
2a02:26f0:68::/48,AS21342 IPv6
2001:4878:8215::/48,AS12222 IPv6
23.202.35.0/24,AS20940 IPv4
23.197.8.0/22,AS16625 IPv4
95.101.141.0/24,AS20940
2600:1402:8000::/48,AS20940 IPv6
2a02:26f7:b205::/48,AS36183
2a02:26f7:b34e::/48,AS36183 IPv6
198.105.251.0/24,AS36029 IPv4
184.27.185.0/24,AS20940 IPv4
95.100.220.0/22,AS9050
172.105.146.0/24,AS63949 IPv4
95.100.108.0/24,AS20940
2a02:26f7:ec::/48,AS36183 IPv6
95.101.88.0/22,AS16625
23.202.122.0/23,AS16625 IPv4
23.32.151.0/24,AS20940 IPv4
2a02:26f7:ce80::/48,AS36183 IPv6
72.52.36.0/24,AS32787 IPv4
2600:1488:4000::/48,AS20940 IPv6
2606:6c00:20f::/48,AS32787 IPv6
2a02:26f7:f6e1::/48,AS36183
2.21.69.0/24,AS20940 IPv4
2600:1413:6000::/48,AS20940 IPv6
23.45.183.0/24,AS20940 IPv4
184.24.48.0/20,AS16625 IPv4
23.55.173.0/24,AS34164 IPv4
23.0.204.0/22,AS16625 IPv4
2a02:26f7:b07d::/48,AS36183
2620:104:a000::/44,AS26008 IPv6
2a02:26f7:b222::/48,AS36183 IPv6
23.56.138.0/24,AS20940 IPv4
23.215.176.0/24,AS20940 IPv4
23.55.171.0/24,AS20940 IPv4
2600:141b:7000::/48,AS20940 IPv6
23.199.80.0/22,AS16625 IPv4
2.19.249.0/24,AS20940
2.17.46.0/24,AS21342
2a02:2370:20a::/48,AS32787 IPv6
2a02:26f0:8900::/48,AS20940
23.64.122.0/24,AS20940 IPv4
2a02:26f7:f40c::/48,AS36183 IPv6
23.53.15.0/24,AS20940 IPv4
