dest_ip,metadata_comment
137.83.133.0/24,AS22616
165.225.12.0/23,AS62044 IPv4
165.225.79.0/24,AS62044 IPv4
165.225.234.0/23,AS53813 IPv4
137.83.153.0/24,AS62044
165.225.230.0/23,AS53813 IPv4
147.161.204.0/23,AS53813
101.2.192.0/18,AS22616
167.103.34.0/23,AS53813 IPv4
147.161.140.0/23,AS62044 IPv4
137.83.142.0/24,AS62044
209.55.143.0/24,AS62044 IPv4
209.55.173.0/24,AS62044 IPv4
147.161.160.0/23,AS62044 IPv4
167.103.26.0/23,AS53813
167.103.30.0/23,AS53813 IPv4
167.103.22.0/23,AS53813
2400:7aa0:1900::/40,AS53813
137.83.128.0/24,AS62044
209.55.156.0/24,AS62044
2a03:eec0:1200::/40,AS62044
137.83.177.0/24,AS62044 IPv4
136.226.242.0/23,AS53813 IPv4
2a03:eec0:2c00::/40,AS62044
8.25.203.0/24,AS53444
209.55.141.0/24,AS22616
89.167.131.0/24,AS62044
137.83.145.0/24,AS53813
170.85.0.0/23,AS62044 IPv4
137.83.185.0/24,AS53813
167.103.18.0/23,AS53813 IPv4
147.161.254.0/23,AS62044 IPv4
137.83.131.0/24,AS22616
2400:7aa0:1b00::/40,AS53813 IPv6
137.83.187.0/24,AS62044
2605:4300:1900::/40,AS22616
147.161.238.0/23,AS62044 IPv4
167.103.41.0/24,AS53813
165.225.90.0/24,AS62044 IPv4
147.161.216.0/23,AS53813 IPv4
209.55.152.0/24,AS62044
167.103.93.0/24,AS16509
137.83.188.0/24,AS53813 IPv4
137.83.182.0/24,AS22616
209.55.139.0/24,AS62044 IPv4
209.55.167.0/24,AS53813 IPv4
147.161.170.0/23,AS62044 IPv4
136.226.250.0/23,AS53813 IPv4
167.103.96.0/23,AS53813
209.55.130.0/24,AS53813 IPv4
165.225.24.0/23,AS62044 IPv4
165.225.16.0/23,AS62044 IPv4
147.161.196.0/23,AS53813 IPv4
167.103.14.0/23,AS53813 IPv4
209.55.145.0/24,AS22616
2a03:eec0:1d00::/40,AS62044 IPv6
147.161.172.0/23,AS62044
167.103.54.0/23,AS53813
2a03:eec0:2900::/40,AS62044 IPv6
185.46.212.0/23,AS62044 IPv4
137.83.172.0/24,AS22616
167.103.20.0/23,AS53813
209.55.161.0/24,AS62044
170.85.46.0/24,AS62044
209.55.166.0/24,AS53813
147.161.160.0/24,AS62044
104.129.204.0/24,AS22616
2a03:eec0:1600::/40,AS62044
147.161.164.0/23,AS62044 IPv4
137.83.144.0/24,AS53813 IPv4
209.55.151.0/24,AS53813 IPv4
147.161.138.0/23,AS62044
136.226.170.0/23,AS62044 IPv4
147.161.194.0/23,AS53813
2400:7aa0:1e00::/40,AS53813
137.83.163.0/24,AS62044 IPv4
175.107.128.0/18,AS22616
147.161.128.0/17,AS22616
209.55.128.0/24,AS62044 IPv4
165.225.74.0/24,AS62044 IPv4
209.55.168.0/24,AS62044 IPv4
165.225.70.0/24,AS62044
136.226.159.0/24,AS62044
167.103.84.0/24,AS53813 IPv4
209.55.133.0/24,AS53813 IPv4
2a03:eec0:1300::/40,AS62044 IPv6
147.161.162.0/23,AS62044
167.103.49.0/24,AS53813
137.83.134.0/24,AS62044
2400:7aa0:1200::/40,AS53813 IPv6
137.83.189.0/24,AS53813
137.83.150.0/24,AS53813 IPv4
165.225.106.0/24,AS53813
137.83.179.0/24,AS62044 IPv4
147.161.226.0/23,AS62044 IPv4
209.55.162.0/24,AS22616
167.103.87.0/24,AS53813 IPv4
167.103.8.0/23,AS53813 IPv4
136.226.254.0/23,AS53813 IPv4
165.225.79.0/24,AS62044
136.226.162.0/23,AS62044 IPv4
137.83.147.0/24,AS53813 IPv4
137.83.140.0/24,AS62044 IPv4
167.103.16.0/23,AS53813 IPv4
147.161.150.0/23,AS62044 IPv4
2605:4300:2200::/40,AS22616
136.226.176.0/23,AS62044 IPv4
209.55.143.0/24,AS62044
209.55.132.0/24,AS22616
137.83.156.0/24,AS62044
2400:7aa0:1c00::/40,AS53813
147.161.252.0/23,AS62044 IPv4
2a03:eec0:1b00::/40,AS62044 IPv6
165.225.122.0/23,AS53813 IPv4
167.103.28.0/23,AS53813
167.103.48.0/24,AS53813
2a03:eec0:2200::/40,AS62044
209.55.147.0/24,AS22616
136.226.238.0/23,AS53813 IPv4
137.83.152.0/24,AS53813
