dest_ip,dest_nt_domain,dest_port
146.70.171.194,us-nyc-ovpn-601.relays.mullvad.net,80
146.70.185.130,us-nyc-ovpn-602.relays.mullvad.net,443
146.70.185.130,us-nyc-ovpn-602.relays.mullvad.net,80
146.70.185.66,us-nyc-ovpn-603.relays.mullvad.net,443
146.70.185.66,us-nyc-ovpn-603.relays.mullvad.net,80
198.54.133.34,us-phx-ovpn-101.relays.mullvad.net,443
198.54.133.34,us-phx-ovpn-101.relays.mullvad.net,80
198.54.133.66,us-phx-ovpn-102.relays.mullvad.net,443
198.54.133.66,us-phx-ovpn-102.relays.mullvad.net,80
198.54.135.162,us-qas-ovpn-001.relays.mullvad.net,443
198.54.135.162,us-qas-ovpn-001.relays.mullvad.net,80
198.54.135.194,us-qas-ovpn-002.relays.mullvad.net,443
198.54.135.194,us-qas-ovpn-002.relays.mullvad.net,80
185.156.46.169,us-qas-ovpn-101.relays.mullvad.net,443
185.156.46.169,us-qas-ovpn-101.relays.mullvad.net,80
185.156.46.182,us-qas-ovpn-102.relays.mullvad.net,443
185.156.46.182,us-qas-ovpn-102.relays.mullvad.net,80
198.54.131.34,us-sea-ovpn-101.relays.mullvad.net,443
198.54.131.34,us-sea-ovpn-101.relays.mullvad.net,80
198.54.131.66,us-sea-ovpn-102.relays.mullvad.net,443
198.54.131.66,us-sea-ovpn-102.relays.mullvad.net,80
198.54.134.34,us-sjc-ovpn-001.relays.mullvad.net,443
198.54.134.34,us-sjc-ovpn-001.relays.mullvad.net,80
198.54.134.66,us-sjc-ovpn-002.relays.mullvad.net,443
198.54.134.66,us-sjc-ovpn-002.relays.mullvad.net,80
69.4.234.150,us-slc-ovpn-201.relays.mullvad.net,443
69.4.234.150,us-slc-ovpn-201.relays.mullvad.net,80
69.4.234.151,us-slc-ovpn-202.relays.mullvad.net,443
69.4.234.151,us-slc-ovpn-202.relays.mullvad.net,80
31.171.153.66,al-tia-wg-001.relays.mullvad.net,51820
2a04:27c0:0:3::f001,al-tia-wg-001.relays.mullvad.net,51820
31.171.154.50,al-tia-wg-002.relays.mullvad.net,51820
2a04:27c0:0:4::f001,al-tia-wg-002.relays.mullvad.net,51820
103.204.123.130,al-tia-wg-003.relays.mullvad.net,51820
2a04:27c0:0:c::f001,al-tia-wg-003.relays.mullvad.net,51820
103.204.123.191,al-tia-wg-004.relays.mullvad.net,51820
2a04:27c0:0:d::f001,al-tia-wg-004.relays.mullvad.net,51820
146.70.116.98,at-vie-wg-001.relays.mullvad.net,51820
2001:ac8:29:84::a01f,at-vie-wg-001.relays.mullvad.net,51820
146.70.116.130,at-vie-wg-002.relays.mullvad.net,51820
2001:ac8:29:85::a02f,at-vie-wg-002.relays.mullvad.net,51820
146.70.116.162,at-vie-wg-003.relays.mullvad.net,51820
2001:ac8:29:86::a03f,at-vie-wg-003.relays.mullvad.net,51820
185.24.11.130,at-vie-wg-101.relays.mullvad.net,51820
2a02:6ea0:cb1b:1::f001,at-vie-wg-101.relays.mullvad.net,51820
185.24.11.159,at-vie-wg-102.relays.mullvad.net,51820
2a02:6ea0:cb1b:2::f001,at-vie-wg-102.relays.mullvad.net,51820
103.214.20.50,au-adl-wg-301.relays.mullvad.net,51820
2404:f780:0:deb::c1f,au-adl-wg-301.relays.mullvad.net,51820
103.214.20.130,au-adl-wg-302.relays.mullvad.net,51820
2404:f780:0:dec::c2f,au-adl-wg-302.relays.mullvad.net,51820
103.216.220.18,au-bne-wg-301.relays.mullvad.net,51820
2404:f780:4:deb::f001,au-bne-wg-301.relays.mullvad.net,51820
