geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3066744,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,204,,,,Europe/Prague,1
3066757,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",531,,,,Europe/Prague,1
3066759,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,"Rosice u Brna",,Europe/Prague,1
3066778,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",532,,,,Europe/Prague,1
3066781,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",524,,,,Europe/Prague,1
3066794,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",326,,,,Europe/Prague,1
3066818,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",805,,,,Europe/Prague,1
3066825,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",645,,,,Europe/Prague,1
3066831,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",313,,,,Europe/Prague,1
3066872,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3066878,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,209,,,,Europe/Prague,1
3066890,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20A,,,,Europe/Prague,1
3066893,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",534,,,,Europe/Prague,1
3066987,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",645,,,,Europe/Prague,1
3066995,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",723,,,,Europe/Prague,1
3066999,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,205,,,,Europe/Prague,1
3067023,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",802,,,,Europe/Prague,1
3067025,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",313,,Rottenschachen,,Europe/Prague,1
3067026,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",715,,,,Europe/Prague,1
