src_ip_entry,src_ip_exit,src_country_entry,src_country_exit
185.159.157.129,185.159.157.22,CH,CH
185.159.157.129,185.159.157.41,CH,CH
185.159.157.129,185.159.157.42,CH,CH
193.37.254.178,193.37.254.179,US,US
193.37.254.178,193.37.254.180,US,US
193.37.254.178,193.37.254.181,US,US
193.37.254.178,193.37.254.182,US,US
193.37.254.178,193.37.254.183,US,US
193.37.254.178,193.37.254.184,US,US
193.37.254.178,193.37.254.185,US,US
193.37.254.178,193.37.254.186,US,US
193.37.254.178,193.37.254.187,US,US
193.37.254.178,193.37.254.188,US,US
193.37.254.178,193.37.254.189,US,US
193.37.254.178,193.37.254.190,US,US
193.37.254.178,38.132.115.242,US,US
193.37.254.178,38.132.115.243,US,US
193.37.254.178,38.132.115.244,US,US
193.37.254.178,38.132.115.245,US,US
193.37.254.178,38.132.115.246,US,US
193.29.107.162,193.29.107.163,DK,DK
193.29.107.162,193.29.107.164,DK,DK
193.29.107.162,193.29.107.165,DK,DK
193.29.107.162,193.29.107.166,DK,DK
193.29.107.162,193.29.107.167,DK,DK
193.29.107.162,193.29.107.168,DK,DK
193.29.107.162,193.29.107.169,DK,DK
193.29.107.162,193.29.107.170,DK,DK
193.29.107.162,193.29.107.171,DK,DK
193.29.107.162,193.29.107.172,DK,DK
193.29.107.162,193.29.107.173,DK,DK
193.29.107.162,193.29.107.174,DK,DK
193.29.107.162,185.245.84.106,DK,DK
193.29.107.162,185.245.84.107,DK,DK
193.29.107.162,185.245.84.108,DK,DK
193.29.107.162,185.245.84.109,DK,DK
193.29.107.162,185.245.84.110,DK,DK
193.29.107.98,193.29.107.99,DK,DK
193.29.107.98,193.29.107.100,DK,DK
193.29.107.98,193.29.107.101,DK,DK
193.29.107.98,193.29.107.102,DK,DK
193.29.107.98,193.29.107.103,DK,DK
193.29.107.98,193.29.107.104,DK,DK
193.29.107.98,193.29.107.105,DK,DK
193.29.107.98,193.29.107.106,DK,DK
193.29.107.98,193.29.107.107,DK,DK
193.29.107.98,193.29.107.108,DK,DK
193.29.107.98,193.29.107.109,DK,DK
193.29.107.98,193.29.107.110,DK,DK
193.29.107.98,185.245.84.98,DK,DK
193.29.107.98,185.245.84.99,DK,DK
193.29.107.98,185.245.84.100,DK,DK
193.29.107.98,185.245.84.101,DK,DK
193.29.107.98,185.245.84.102,DK,DK
89.36.76.130,89.36.76.131,DE,DE
89.36.76.130,89.36.76.132,DE,DE
89.36.76.130,89.36.76.133,DE,DE
89.36.76.130,89.36.76.134,DE,DE
89.36.76.130,89.36.76.135,DE,DE
89.36.76.130,89.36.76.136,DE,DE
89.36.76.130,89.36.76.137,DE,DE
89.36.76.130,89.36.76.138,DE,DE
89.36.76.130,89.36.76.139,DE,DE
89.36.76.130,89.36.76.140,DE,DE
89.36.76.130,89.36.76.141,DE,DE
89.36.76.130,89.36.76.142,DE,DE
89.36.76.130,89.36.76.74,DE,DE
89.36.76.130,89.36.76.75,DE,DE
89.36.76.130,89.36.76.76,DE,DE
89.36.76.130,89.36.76.77,DE,DE
89.36.76.130,89.36.76.78,DE,DE
185.159.157.129,185.159.157.77,CH,CH
185.159.157.129,185.159.157.78,CH,CH
185.159.157.6,185.159.157.8,CH,CH
185.159.157.6,185.159.157.9,CH,CH
185.159.157.6,185.159.157.14,CH,CH
185.159.157.6,185.159.157.15,CH,CH
185.159.157.6,185.159.157.16,CH,CH
185.159.157.6,185.159.157.17,CH,CH
185.159.157.6,185.159.157.18,CH,CH
185.159.157.6,185.159.157.86,CH,CH
185.159.157.6,185.159.157.87,CH,CH
195.178.172.189,185.159.156.5,SE,SE
195.178.172.189,185.159.156.6,SE,SE
195.178.172.189,185.159.156.19,SE,SE
