"as_number","metadata_comment"
"30893","No ACK Group Holding AB"
"12876","SCALEWAY S.A.S."
"29447","SCALEWAY S.A.S."
"211619","MAXKO d.o.o."
"36352","HostPapa"
"51396","Pfcloud UG"
"62005","BlueVPS OU"
"200019","ALEXHOST SRL"
"9009","M247 Europe SRL"
"29802","HIVELOCITY, Inc."
"214366","Moustafa Mohamed Mohamed Ahmed Elghoubashi"
"26832","Rica Web Services"
"58087","Florian Kolb"
"56655","Gigahost AS"
"214379","South Park Networks LLC"
"44477","PQ HOSTING PLUS S.R.L."
"206238","Freedom Internet BV"
"207083","HostSlim B.V."
"20860","IOMART CLOUD SERVICES LIMITED"
"56322","ServerAstra Kft."
"63473","HostHatch, LLC"
"201409","HOSTSHIELD LTD"
