as_number,rir,domain,cc,asname
199420,ripencc,fly-group.ru,RU,FLYGROUP-AS
199598,ripencc,fiberlinkcc.com,US,ASFBL
199654,ripencc,oxide.host,GB,OXIDE-GROUP-LIMITED
200010,ripencc,cantech.international,US,VISLOM
200373,ripencc,plainproxies.com,DE,Drei-K-Tech-GmbH
200514,ripencc,knownsrv.com,HR,KnownSRV
200593,ripencc,pro-spero.ru,RU,PROSPERO-AS
200699,ripencc,xor.sc,SC,DATASHIELD_NL
201249,ripencc,iprowireless.com,AL,IPRO
201380,ripencc,excitedmatch.com,UA,ALFABISNES-AS
201572,ripencc,ekoiniciative.pp.ua,UA,EKO-INICIATIVE-AS
201626,ripencc,bignet.ua,UA,PODILLIA-AS
202171,ripencc,torero,UA,TORERO-AS
202267,ripencc,dobrosvitkredo,UA,DOBROSVIT-AS
202302,ripencc,s-host.com.ua,UA,NETH-AS
202318,ripencc,ekoiniciative.pp.ua,UA,EKOINICIATIVE-AS
202383,ripencc,el-k-stil,UA,EL-K-STIL-AS
202388,ripencc,club-nadiya,UA,CLUB-NADIYA-AS
202425,ripencc,ipvolume.net,NL,INT-NETWORK
202481,ripencc,reapolis,UA,REAPOLIS-AS
202685,ripencc,pfcloud.io,DE,as-pfcloud
202972,ripencc,eksenbilisim.com.tr,TR,NEO-NET
203120,ripencc,globtelgroup.com,US,GTGL
203346,ripencc,propersupportmedia.com,GB,AS-232WEB
203959,ripencc,bignet.ua,UA,DEM-AS
203999,ripencc,gwhostinglabs.com,IN,GeekyWorks
204057,ripencc,dcxv.com,LT,DCXV-AS
204428,ripencc,ssnet.eu,BG,SS-Net
204487,ripencc,bignet.ua,UA,R179
204490,ripencc,contell.ru,RU,ASKONTEL
204502,ripencc,livela,UA,LIVELA-AS
204552,ripencc,bignet.ua,UA,POPILNYANET-AS
205083,ripencc,xor.sc,SC,DATASHIELD_FILTER
205124,ripencc,uplink.in.md,MD,COLOCATION
205663,arin,isofone.com,SE,ICL-256-205663
205835,ripencc,uplink.in.md,MD,COLOCATION
205911,ripencc,uplink.in.md,MD,HOSTING
206017,ripencc,uplink.in.md,MD,HOSTING
206068,ripencc,uplink.in.md,MD,HOSTING
206371,ripencc,cantech.international,US,VISLOM-LIMITED
206728,ripencc,sshvps.net,RU,MEDIALAND-AS
207046,ripencc,sered.net,ES,redservicio
207084,ripencc,ncryptd.net,GB,NCRYPTD
207088,ripencc,adoard.com,RO,ADOARD
207566,ripencc,changway.hk,HK,LD007-AS
208046,ripencc,hostslick.de,DE,ColocationX-Datacenter
208198,ripencc,eksenbilisim.com.tr,TR,Mavi-NET
208312,ripencc,changway.hk,HK,redbytes
