process,metadata_binary,metadata_function,metadata_binary_functions,metadata_link,metadata_confidence,metadata_confidence
*/cdist shell -s /bin/sh*,cdist,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cdist/,,
*sudo cdist shell -s /bin/sh*,cdist,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cdist/,,
*certbot certonly -n -d x --standalone --dry-run --agree-tos --email x --logs-dir * --work-dir * --config-dir * --pre-hook '/bin/sh 1>&0 2>&0'*,certbot,,Shell - Sudo,https://gtfobins.github.io/gtfobins/certbot/,,
"*check_by_ssh -o ""ProxyCommand /bin/sh -i <$(tty) |& tee $(tty)"" -H localhost -C *",check_by_ssh,,Shell - Sudo,https://gtfobins.github.io/gtfobins/check_by_ssh/,,
*check_cups --extra-opts=@$*,check_cups ,,File read - Sudo,https://gtfobins.github.io/gtfobins/check_cups/,,
*sudo check_log -F * -O *,check_log,,File write - File read - Sudo,https://gtfobins.github.io/gtfobins/check_log/,,
*sudo check_memory --extra-opts=@$*,check_memory,,File read - Sudo,https://gtfobins.github.io/gtfobins/check_memory/,,
*sudo check_raid --extra-opts=@$*,check_raid ,,File read - Sudo,https://gtfobins.github.io/gtfobins/check_raid/,,
*/check_raid --extra-opts=@$*,check_raid ,,File read - Sudo,https://gtfobins.github.io/gtfobins/check_raid/,,
*check_ssl_cert --curl-bin $* -H *,check_ssl_cert ,,Command - Sudo,https://gtfobins.github.io/gtfobins/check_ssl_cert/,,
*sudo check_statusfile */*/*,check_statusfile ,,File read - Sudo,https://gtfobins.github.io/gtfobins/check_statusfile/,,
*sudo install -m =xs $(which chmod) .*,chmod,,SUID - Sudo,https://gtfobins.github.io/gtfobins/chmod/,,
*sudo chmod 6777 $*,chmod,,SUID - Sudo,https://gtfobins.github.io/gtfobins/chmod/,,
*/choom -n 0 /bin/sh*,choom,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/choom/,,
*sudo choom -n 0 /bin/sh*,choom,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/choom/,,
*./chown $(id -un):$(id -gn) $*,chown,,SUID - Sudo,https://gtfobins.github.io/gtfobins/chown/,,
*sudo chown $(id -un):$(id -gn) *,chown,,SUID - Sudo,https://gtfobins.github.io/gtfobins/chown/,,
*./chroot / /bin/sh -p*,chroot,,SUID - Sudo,https://gtfobins.github.io/gtfobins/chroot/,,
*sudo chroot /*,chroot,,SUID - Sudo,https://gtfobins.github.io/gtfobins/chroot/,,
*clamscan --no-summary -d * -f * 2>&1 | sed -nE 's/^(.*): No such file or directory$/\1/p*,clamscan,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/clamscan/,,
*sudo clamscan --no-summary -d * -f * 2>&1 | sed -nE 's/^(.*): No such file or directory$/\1/p*,clamscan,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/clamscan/,,
*touch $*/empty.yara*,clamscan,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/clamscan/,,
*cmp */* /dev/zero -b -l*,cmp,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cmp/,,
*./cmp * /dev/zero -b -l*,cmp,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cmp/,,
*sudo cmp * /dev/zero -b -l*,cmp,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cmp/,,
*cobc -xFj --frelax-syntax-checks $*/*,cobc,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cobc/,,
"*echo 'CALL ""SYSTEM"" USING ""/bin/sh"".' > *",cobc,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cobc/,,
*sudo column */*,column,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/column/,,
*comm *$ /dev/null 2>/dev/null*,comm,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/comm/,,
*sudo comm * /dev/null 2>/dev/null*,comm,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/comm/,,
"*echo '{""scripts"":{*:""/bin/sh -i 0<&3 1>&3 2>&3""}}' >*.json*",composer,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/composer/,,
*composer --working-dir=$* run-script *,composer,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/composer/,,
*sudo composer --working-dir=* run-script *,composer,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/composer/,,
*./composer --working-dir=* run-script *,composer,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/composer/,,
"*echo 'exec ""/bin/sh"";' >$*",cowsay,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowsay/,,
*cowsay -f $* *,cowsay,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowsay/,,
*cowsay -f */bin/sh*,cowsay,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowsay/,,
*sudo cowsay -f $*,cowsay,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowsay/,,
"*echo 'exec ""/bin/sh"";' >$*",cowthink,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowthink/,,
*sudo cowthink -f $*,cowthink,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowthink/,,
*sudo cowthink -f */bin/sh*,cowthink,,Shell - Sudo,https://gtfobins.github.io/gtfobins/cowthink/,,
"*echo ""*"" | cp /dev/stdin ""$*",cp,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cp/,,
"*echo ""*"" | ./cp /dev/stdin ""$*",cp,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cp/,,
"*./cp --attributes-only --preserve=all ./cp ""$*""*",cp,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cp/,,
*sudo cp /bin/sh /bin/cp*,cp,,File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cp/,,
*cpan*! exec '/bin/bash'*,cpan,,Shell - Reverse shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/cpan/,,
"*use Socket*socket(*PF_INET*SOCK_STREAM*getprotobyname(""tcp"")); if(connect*exec(""/bin/sh *",cpan,,Shell - Reverse shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/cpan/,,
*use HTTP::Server::Simple*= HTTP::Server::Simple->new(); *->run()*,cpan,,Shell - Reverse shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/cpan/,,
*use File::Fetch*(File::Fetch->new(uri => *$*->fetch()*,cpan,,Shell - Reverse shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/cpan/,,
*sudo cpan,cpan,,Shell - Reverse shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/cpan/,,
*! exec '/bin/bash'*,cpan,,Shell - Reverse shell - File upload - File download - Sudo,https://gtfobins.github.io/gtfobins/cpan/,,
*echo '/bin/sh </dev/tty >/dev/tty' >*,cpio,,Shell - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cpio/,,
