signature,metadata_category,metadata_comment
Virus:DOS/Knight7,Virus,
Virus:DOS/Lamerman,Virus,
Virus:DOS/Madindia,Virus,
Virus:DOS/Malaga.A,Virus,
Virus:DOS/Multi_ani,Virus,
Virus:DOS/Necrosis,Virus,
Virus:DOS/Nichols.A,Virus,
Virus:DOS/Nichols.B,Virus,
Virus:DOS/Novacane,Virus,
Virus:DOS/Overboot,Virus,
Virus:DOS/PFS.3795,Virus,
Virus:DOS/PFS.5392,Virus,
Virus:DOS/PFS.5552,Virus,
Virus:DOS/Paz.2560,Virus,
Virus:DOS/Pretty.A,Virus,
Virus:DOS/Pretty.B,Virus,
Virus:DOS/Procuror,Virus,
Virus:DOS/Push.943,Virus,
Virus:DOS/Push.995,Virus,
Virus:DOS/Qwerty.A,Virus,
Virus:DOS/Rabbit.B,Virus,
Virus:DOS/Rajaat5,Virus,
Virus:DOS/Rasputin,Virus,
Virus:DOS/Res.2800,Virus,
Virus:DOS/Res.4258,Virus,
Virus:DOS/Rex.1637,Virus,
Virus:DOS/Rhapsody,Virus,
Virus:DOS/Rotceh,Virus,
Virus:DOS/Sailor.D,Virus,
Virus:DOS/Secshift,Virus,
Virus:DOS/Stoned.E,Virus,
Virus:DOS/Stoned.W,Virus,
Virus:DOS/Stoned.X,Virus,
Virus:DOS/Svetlana,Virus,
Virus:DOS/Swedish.B,Virus,
Virus:DOS/Tiebud.B,Virus,
Virus:DOS/Tiso.846,Virus,
Virus:DOS/Veroboot,Virus,
Virus:DOS/Winstart,Virus,
Virus:DOS/Xboot.A,Virus,
Virus:DOS/Xantic.A,Virus,
Virus:DOS/YBoot.B,Virus,
Virus:DOS/Zuzana.A,Virus,
Virus:DOS/15_Years.A,Virus,
Virus:DOS/15_Years.B,Virus,
Virus:DOS/Alar.4873,Virus,
Virus:DOS/Alar.5088,Virus,
Virus:DOS/Alar.6047,Virus,
Virus:DOS/Alfa.3072,Virus,
Virus:DOS/Alla.1281,Virus,
Virus:DOS/Alla.1407,Virus,
Virus:DOS/Altx.2900,Virus,
Virus:DOS/AntiCad.D,Virus,
Virus:DOS/Antiwin95,Virus,
Virus:DOS/Arya.4616,Virus,
Virus:DOS/Assasin.H,Virus,
Virus:DOS/Azusa.dam,Virus,
Virus:DOS/Babec.416,Virus,
Virus:DOS/Beryllium,Virus,
Virus:DOS/Blah.3379,Virus,
Virus:DOS/Blah.3385,Virus,
Virus:DOS/Boehmex.A,Virus,
Virus:DOS/CCBB.1410,Virus,
Virus:DOS/CCBB.2221,Virus,
Virus:DOS/Cannabis.A,Virus,
Virus:DOS/Cannabis.B,Virus,
Virus:DOS/Dannyboot,Virus,
Virus:DOS/DarkElf.B,Virus,
Virus:DOS/Dasboot.B,Virus,
Virus:DOS/EXE_Bug.B,Virus,
Virus:DOS/EXE_Bug.D,Virus,
Virus:DOS/EXE_Bug.F,Virus,
Virus:DOS/Faca.2143,Virus,
Virus:DOS/Fanom.954,Virus,
Virus:DOS/Galicia.B,Virus,
Virus:DOS/Ghostballs,Virus,
Virus:DOS/Goldbug.D,Virus,
Virus:DOS/Gwar.2778,Virus,
Virus:DOS/HMABoot.B,Virus,
Virus:DOS/HidenSeek,Virus,
Virus:DOS/Invisible,Virus,
Virus:DOS/Kampana.A,Virus,
Virus:DOS/Kela.3265,Virus,
Virus:DOS/Kiev.2048,Virus,
Virus:DOS/Killroy.B,Virus,
Virus:DOS/Kilroy.F,Virus,
Virus:DOS/Kilroy.H,Virus,
Virus:DOS/Lao_Doungo,Virus,
Virus:DOS/Mission.B,Virus,
Virus:DOS/Mity.1982,Virus,
Virus:DOS/Mongolian,Virus,
Virus:DOS/Mr_Sniper,Virus,
Virus:DOS/Muny.2876,Virus,
Virus:DOS/Nopower.A,Virus,
Virus:DOS/Ntmy.1722,Virus,
Virus:DOS/Palmaboot,Virus,
Virus:DOS/Paskuda.B,Virus,
Virus:DOS/Payback.D,Virus,
Virus:DOS/Persefone,Virus,
Virus:DOS/PingPong.B,Virus,
Virus:DOS/Preboot.A,Virus,
Virus:DOS/Preboot.B,Virus,
Virus:DOS/Qpis.2931,Virus,
Virus:DOS/Quiz.1024,Virus,
Virus:DOS/Sadun.371,Virus,
Virus:DOS/Shff.4509,Virus,
Virus:DOS/Shimmer.A,Virus,
Virus:DOS/Shimmer.B,Virus,
Virus:DOS/SmallBoot,Virus,
Virus:DOS/Stoned.AT,Virus,
Virus:DOS/Stoned.BL,Virus,
Virus:DOS/Stoned.BN,Virus,
Virus:DOS/Stoned.C4,Virus,
Virus:DOS/Stoned.CT,Virus,
Virus:DOS/Stoned.D6,Virus,
Virus:DOS/Stoned.DC,Virus,
Virus:DOS/Stoned.DH,Virus,
Virus:DOS/Stoned.DI,Virus,
Virus:DOS/Stoned.DJ,Virus,
Virus:DOS/Stoned.DK,Virus,
Virus:DOS/Stoned.DO,Virus,
Virus:DOS/Stoned.DT,Virus,
Virus:DOS/Stoned.DZ,Virus,
Virus:DOS/Stoned.EA,Virus,
Virus:DOS/Stoned.EB,Virus,
Virus:DOS/Stoned.EF,Virus,
Virus:DOS/Stoned.EH,Virus,
Virus:DOS/Stoned.EI,Virus,
Virus:DOS/Stoned.EJ,Virus,
Virus:DOS/Stoned.EK,Virus,
Virus:DOS/Stoned.EM,Virus,
Virus:DOS/Stoned.EN,Virus,
Virus:DOS/Stoned_I.C,Virus,
Virus:DOS/Strange.A,Virus,
Virus:DOS/TeaForTwo,Virus,
Virus:DOS/Tedy.4350,Virus,
Virus:DOS/Telefonica,Virus,
Virus:DOS/Theta.527,Virus,
Virus:DOS/Theta.530,Virus,
Virus:DOS/Time.3551,Virus,
Virus:DOS/Tiso.1279,Virus,
Virus:DOS/Tornado.B,Virus,
Virus:DOS/Tpvo.3464,Virus,
Virus:DOS/Track81.B,Virus,
Virus:DOS/Traveller,Virus,
Virus:DOS/Vecna.313,Virus,
Virus:DOS/Vecna.512,Virus,
Virus:DOS/Win4.1536,Virus,
Virus:DOS/Yang.2528,Virus,
Virus:DOS/Yosha.271,Virus,
Virus:DOS/Yosha.442,Virus,
Virus:DOS/Yosha.447,Virus,
Virus:DOS/AntiCMOS.E,Virus,
Virus:DOS/Babol.3072,Virus,
Virus:DOS/BootEXE.451,Virus,
Virus:DOS/BootEXE.452,Virus,
Virus:DOS/Bounty_Bob,Virus,
Virus:DOS/Breakpoint,Virus,
Virus:DOS/Caper.1248,Virus,
Virus:DOS/Comptroj.A,Virus,
Virus:DOS/DamCDoom.A,Virus,
Virus:DOS/Deflo.5608,Virus,
Virus:DOS/Deflo.5791,Virus,
Virus:DOS/Deflo.6600,Virus,
Virus:DOS/Disk_Killer,Virus,
Virus:DOS/Doomed.406,Virus,
Virus:DOS/DragonBoot,Virus,
Virus:DOS/Ebola.6001,Virus,
Virus:DOS/Evil_Empire,Virus,
Virus:DOS/FAT_Avenger,Virus,
Virus:DOS/Fatty.3008,Virus,
Virus:DOS/Gamaboot.I,Virus,
Virus:DOS/Godoy.1792,Virus,
Virus:DOS/Golden_Gate,Virus,
Virus:DOS/Gomaboot.A,Virus,
Virus:DOS/Gomaboot.B,Virus,
Virus:DOS/Grave_Lion,Virus,
Virus:DOS/Hardcore.A,Virus,
Virus:DOS/Hardcore.B,Virus,
Virus:DOS/Henky.3072,Virus,
Virus:DOS/Hysteria.A,Virus,
Virus:DOS/Hysteria.B,Virus,
Virus:DOS/KillHD.510,Virus,
Virus:DOS/Kitana.101,Virus,
Virus:DOS/Kitana.108,Virus,
Virus:DOS/Kitana.128,Virus,
Virus:DOS/Kitana.131,Virus,
Virus:DOS/Kitana.132,Virus,
Virus:DOS/Kitana.134,Virus,
Virus:DOS/Kitana.142,Virus,
Virus:DOS/Kitana.145,Virus,
Virus:DOS/Kitana.146,Virus,
Virus:DOS/Kitana.150,Virus,
Virus:DOS/Kitana.153,Virus,
Virus:DOS/Kitana.160,Virus,
Virus:DOS/Kitana.167,Virus,
Virus:DOS/Kiuca.2268,Virus,
Virus:DOS/Ladefehler,Virus,
Virus:DOS/Majkl.1432,Virus,
Virus:DOS/Majkl.1438,Virus,
Virus:DOS/MzBoot.464,Virus,
Virus:DOS/NRLG_960.B,Virus,
Virus:DOS/Natas.1928,Virus,
Virus:DOS/Natas.4788,Virus,
Virus:DOS/No_Message,Virus,
Virus:DOS/Nutcracker,Virus,
Virus:DOS/Oroch.3982,Virus,
Virus:DOS/Peanut.443,Virus,
Virus:DOS/Peanut.444,Virus,
Virus:DOS/Peanut.445,Virus,
Virus:DOS/Pentagon.B,Virus,
Virus:DOS/PingPong286,Virus,
Virus:DOS/Punisher.C,Virus,
Virus:DOS/Punshier.B,Virus,
Virus:DOS/Punsiher.B,Virus,
Virus:DOS/QMU_1513.A,Virus,
Virus:DOS/QMU_1513.B,Virus,
Virus:DOS/Quandary.A,Virus,
Virus:DOS/Rasek.1310,Virus,
Virus:DOS/Rasek.1489,Virus,
Virus:DOS/RussianFlag,Virus,
Virus:DOS/Survivor.A,Virus,
Virus:DOS/Talon.1979,Virus,
Virus:DOS/Traka.1432,Virus,
Virus:DOS/Traka.1471,Virus,
Virus:DOS/Ungra.4065,Virus,
Virus:DOS/Vecna.1401,Virus,
Virus:DOS/Wma_II.451,Virus,
Virus:DOS/WorldPeace,Virus,
Virus:DOS/Altx,Virus,
Virus:DOS/Before.4292,Virus,
Virus:DOS/BootEXE.443,Virus,
Virus:DOS/BootEXE.446,Virus,
Virus:DOS/Chiche.1436,Virus,
Virus:DOS/Chinese_Fish,Virus,
Virus:DOS/Chlor_480.C,Virus,
Virus:DOS/Chupacabras,Virus,
Virus:DOS/Crazy_Eddie,Virus,
Virus:DOS/Cricri.4289,Virus,
Virus:DOS/Cricri.4300,Virus,
Virus:DOS/Digress.943,Virus,
Virus:DOS/Digress.945,Virus,
Virus:DOS/Eightball.A,Virus,
Virus:DOS/Eightball.B,Virus,
Virus:DOS/ErasePT.948,Virus,
Virus:DOS/Flip_2153.A,Virus,
Virus:DOS/Frankenstein,Virus,
Virus:DOS/Ginger.1910,Virus,
Virus:DOS/Ginger.2073,Virus,
Virus:DOS/Ginger.2249,Virus,
Virus:DOS/Ginger.2337,Virus,
Virus:DOS/Ginger.2351,Virus,
Virus:DOS/Ginger.2564,Virus,
Virus:DOS/Ginger.2628,Virus,
Virus:DOS/Ginger.2782,Virus,
Virus:DOS/Ginger.3075,Virus,
Virus:DOS/Golden_Gate2,Virus,
Virus:DOS/Hatred.3469,Virus,
Virus:DOS/Junkie.1027,Virus,
Virus:DOS/Junkie.1308,Virus,
Virus:DOS/Leftshift.A,Virus,
Virus:DOS/Leftshift.B,Virus,
Virus:DOS/Madjid.2930,Virus,
Virus:DOS/Malaria.849,Virus,
Virus:DOS/Markus.5415,Virus,
Virus:DOS/Marzia.1536,Virus,
Virus:DOS/Messev.3037,Virus,
Virus:DOS/Michelangelo,Virus,
Virus:DOS/Mordor.1110,Virus,
Virus:DOS/Necrophilia,Virus,
Virus:DOS/Neuroquila.A,Virus,
Virus:DOS/Neuroquila.B,Virus,
Virus:DOS/OneHalf.3518,Virus,
Virus:DOS/OneHalf.3570,Virus,
Virus:DOS/OneHalf.3666,Virus,
