domain,port,metadata_comment,ip
hauroa.freeboxos.fr,49200,Possible GLKVM Domain (Unverified),88.161.5.86
head.yeliya.site,10443,Possible PiKVM Domain (Unverified),118.195.219.163
hh40a68mv96.sn.mynetname.net,8080,Possible NanoKVM Domain (Unverified),37.204.114.193
hkht-server.direct.quickconnect.to,1203,Possible PiKVM Domain (Unverified),183.179.253.6
home.hertz-eichenrode.net,443,Possible GLKVM Domain (Unverified),31.16.114.99
home.yyystephen.top,2443,Possible PiKVM Domain (Unverified),220.203.225.174
home5692nas.direct.quickconnect.to,18080,Possible NanoKVM Domain (Unverified),218.153.229.96
hs.agafonov.club,8484,Possible NanoKVM Domain (Unverified),89.19.177.198
hsinter.com,5040,Possible GLKVM Domain (Unverified),75.40.52.208
hub.nashitut.ru,81,Possible NanoKVM Domain (Unverified),84.42.22.118
hyperperceptron.asuscomm.com,3512,Possible PiKVM Domain (Unverified),123.192.65.137
hyperperceptron.asuscomm.com,4512,Possible PiKVM Domain (Unverified),123.192.65.137
icpsco.net,443,Possible GLKVM Domain (Unverified),24.229.127.67
icpsco.net,80,Possible GLKVM Domain (Unverified),24.229.127.67
id.euroident.de,4433,Possible GLKVM Domain (Unverified),87.140.5.121
idired.direct.quickconnect.to,12345,Possible NanoKVM Domain (Unverified),79.112.5.133
img.jd-tcc.com,8003,Possible PiKVM Domain (Unverified),47.97.165.76
img.jd-tcc.com,8009,Possible PiKVM Domain (Unverified),47.97.165.76
img.jd-tcc.com,8014,Possible PiKVM Domain (Unverified),47.97.165.76
int28home.myqnapcloud.com,18443,Possible PiKVM Domain (Unverified),202.79.78.110
interna.rkvm.xeion.de,80,Possible GLKVM Domain (Unverified),137.74.230.28
internal-eu-dev.edgerelaycloud.com,8443,Possible GLKVM Domain (Unverified),162.251.63.242
irbisllc.com,2323,Possible NanoKVM Domain (Unverified),176.123.217.148
jamb.mooo.com,60443,Possible PiKVM Domain (Unverified),46.149.84.98
jcw81.direct.quickconnect.to,10088,Possible NanoKVM Domain (Unverified),128.106.40.182
jelly.privaccouting.dedyn.io,8090,Possible PiKVM Domain (Unverified),159.69.250.5
jelly.wallmark.no,5236,Possible PiKVM Domain (Unverified),83.108.204.145
jellyfin.galind.io,8443,Possible PiKVM Domain (Unverified),68.127.187.32
jellyfin.srvb.ovh,80,Possible NanoKVM Domain (Unverified),82.65.130.242
jenkins.metaphorfund.com,8888,Possible NanoKVM Domain (Unverified),210.218.165.124
jinaohome.top,78,Possible PiKVM Domain (Unverified),121.15.191.101
jk9921.synology.me,443,Possible NanoKVM Domain (Unverified),23.241.104.145
jk9921.synology.me,80,Possible NanoKVM Domain (Unverified),23.241.104.145
js.databill.net,5444,Possible PiKVM Domain (Unverified),180.130.150.45
jsmicro.cn,11111,Possible NanoKVM Domain (Unverified),114.221.51.2
karernaya6.netcraze.pro,8443,Possible NanoKVM Domain (Unverified),62.140.240.43
karlsonserver.direct.quickconnect.to,3815,Possible GLKVM Domain (Unverified),100.1.116.161
kclauts873.myqnapcloud.com,62443,Possible PiKVM Domain (Unverified),124.244.236.243
kcs2092.duckdns.org,40005,Possible NanoKVM Domain (Unverified),123.213.37.9
keenetic-alexey.keenetic.link,33333,Possible NanoKVM Domain (Unverified),78.107.238.174
kennyb36532.direct.quickconnect.to,10142,Possible GLKVM Domain (Unverified),68.186.201.237
kima.cainet.info,8822,Possible NanoKVM Domain (Unverified),195.46.165.163
kkim.top,18443,Possible GLKVM Domain (Unverified),123.235.20.198
klinker-cabin.computer,8081,Possible PiKVM Domain (Unverified),38.75.214.203
klinker.computer,8081,Possible PiKVM Domain (Unverified),73.243.94.224
knzw.org,8866,Possible GLKVM Domain (Unverified),104.56.117.144
kroki-excalidraw.lainey.ovh,21280,Possible NanoKVM Domain (Unverified),82.64.188.157
kvm-oob.parisremotehands.fr,1443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm-oob.parisremotehands.fr,443,Possible GLKVM Domain (Unverified),82.26.68.211
kvm.cyida.com,9008,Possible PiKVM Domain (Unverified),106.52.231.33
kvm.sollysolutions.com,443,Possible GLKVM Domain (Unverified),165.232.62.159
kwbjr.com,10163,Possible GLKVM Domain (Unverified),68.186.201.237
kyusiks.synology.me,8081,Possible NanoKVM Domain (Unverified),180.67.255.80
