domain,port,metadata_comment,ip
admin.swdbo.com,8081,Possible Interactsh Domain (Unverified),64.23.165.36
admin.swdbo.com,8443,Possible Interactsh Domain (Unverified),64.23.165.36
admin.xssx.cc,25,Possible Interactsh Domain (Unverified),34.82.86.93
admin.xssx.cc,465,Possible Interactsh Domain (Unverified),34.82.86.93
admin.xssx.cc,587,Possible Interactsh Domain (Unverified),34.82.86.93
adobe.compare,8025,Possible Interactsh Domain (Unverified),146.190.25.209
adobe.compare,8055,Possible Interactsh Domain (Unverified),146.190.25.209
adobe.compare,8587,Possible Interactsh Domain (Unverified),146.190.25.209
ads.tgmaxtraffic.com,25,Possible Interactsh Domain (Unverified),185.185.40.4
ads.tgmaxtraffic.com,80,Possible Interactsh Domain (Unverified),185.185.40.4
advisense.beinaravicius.lt,443,Possible BurpSuite Collaborator Domain (Unverified),138.68.134.169
ahmet41.com,25,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,443,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,465,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,587,Possible Interactsh Domain (Unverified),178.62.206.95
ahmet41.com,80,Possible Interactsh Domain (Unverified),178.62.206.95
ai.acadox.site,3232,Possible Reverse_SSH Domain (Unverified),207.246.108.64
ai.osgc.com.cn,9254,Possible Interactsh Domain (Unverified),222.128.47.103
aikitchtech.com,80,Possible DinDoor Domain (Unverified),31.76.96.193
alienx.work,25,Possible Interactsh Domain (Unverified),167.233.144.101
alienx.work,465,Possible Interactsh Domain (Unverified),167.233.144.101
alienx.work,587,Possible Interactsh Domain (Unverified),167.233.144.101
alist.shenyi001.serv00.net,55678,Possible wstunnel Domain (Unverified),128.204.223.98
ally.crwc.sh,443,Possible BurpSuite Collaborator Domain (Unverified),3.93.217.11
ally.crwc.sh,80,Possible BurpSuite Collaborator Domain (Unverified),3.93.217.11
alpha.davincialgo.io,8443,Possible wstunnel Domain (Unverified),166.0.19.249
alteala.com,6606,Possible AsyncRAT Domain (Unverified),204.44.69.230
alteala.com,7707,Possible AsyncRAT Domain (Unverified),204.44.69.230
alteala.com,8808,Possible AsyncRAT Domain (Unverified),204.44.69.230
amooproxy.dubya.info,55682,Possible wstunnel Domain (Unverified),128.204.223.111
amy-newnostalgia.timeseries.us,25,Possible Interactsh Domain (Unverified),84.247.165.70
amy-newnostalgia.timeseries.us,587,Possible Interactsh Domain (Unverified),84.247.165.70
amy-newnostalgia.timeseries.us,80,Possible Interactsh Domain (Unverified),84.247.165.70
an0.work,443,Possible BurpSuite Collaborator Domain (Unverified),51.83.185.33
an0.work,80,Possible BurpSuite Collaborator Domain (Unverified),51.83.185.33
analytics-api.zonetv.cloud,443,Possible Interactsh Domain (Unverified),18.213.60.126
analytics-api.zonetv.cloud,80,Possible Interactsh Domain (Unverified),18.213.60.126
anjelik.dev,2525,Possible Interactsh Domain (Unverified),45.38.190.174
api-app.atosdf.io,25,Possible Interactsh Domain (Unverified),167.99.154.229
api-app.atosdf.io,587,Possible Interactsh Domain (Unverified),167.99.154.229
api-app.atosdf.io,8880,Possible Interactsh Domain (Unverified),167.99.154.229
api-locator.com,80,Possible Interactsh Domain (Unverified),34.27.6.23
api-metrics.eu,25,Possible Interactsh Domain (Unverified),178.104.90.50
api.familyplaybook.com,80,Possible Interactsh Domain (Unverified),3.230.163.169
api.grand-stars.online,9000,Possible DevilGinx Domain (Unverified),185.212.128.59
api.grand-stars.online,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.59
api.nonghaiiot.com,443,Possible Interactsh Domain (Unverified),121.36.99.122
api.nonghaiiot.com,8765,Possible Interactsh Domain (Unverified),121.36.99.122
api.sdlxkj.cn,18443,Possible AdaptixC2 Domain (Unverified),82.158.229.30
api.turzap.com.br,25,Possible Interactsh Domain (Unverified),37.60.225.235
api.turzap.com.br,443,Possible Interactsh Domain (Unverified),37.60.225.235
api.turzap.com.br,465,Possible Interactsh Domain (Unverified),37.60.225.235
api.turzap.com.br,587,Possible Interactsh Domain (Unverified),37.60.225.235
api.turzap.com.br,80,Possible Interactsh Domain (Unverified),37.60.225.235
api.voxar.ru,80,Possible Mirai Botnet Domain (Unverified),78.153.149.82
api.vulnscanners.com,9090,Possible Hak5 Cloud C2 Domain (Unverified),178.104.172.54
api.zmr888.top,8080,Possible Interactsh Domain (Unverified),35.212.221.10
api.zmr888.top,8443,Possible Interactsh Domain (Unverified),35.212.221.10
apidevelopers.enercomhn.com,3085,Possible NetSupportRAT Domain (Unverified),200.107.126.227
app.d.o4st.net,587,Possible Interactsh Domain (Unverified),172.238.169.75
app.vanitysplitkey.com,443,Possible Interactsh Domain (Unverified),147.93.184.216
app.vanitysplitkey.com,587,Possible Interactsh Domain (Unverified),147.93.184.216
app.vanitysplitkey.com,80,Possible Interactsh Domain (Unverified),147.93.184.216
arkhana-frontend-3pesxf-a769a1-51-158-64-229.traefik.me,25,Possible Interactsh Domain (Unverified),51.158.64.229
arkhana-frontend-3pesxf-a769a1-51-158-64-229.traefik.me,465,Possible Interactsh Domain (Unverified),51.158.64.229
arkhana-frontend-3pesxf-a769a1-51-158-64-229.traefik.me,587,Possible Interactsh Domain (Unverified),51.158.64.229
arkhana-frontend-3pesxf-a769a1-51-158-64-229.traefik.me,80,Possible Interactsh Domain (Unverified),51.158.64.229
asi.oastable.com,25,Possible Interactsh Domain (Unverified),45.63.110.208
asi.oastable.com,443,Possible Interactsh Domain (Unverified),45.63.110.208
asi.oastable.com,465,Possible Interactsh Domain (Unverified),45.63.110.208
asi.oastable.com,587,Possible Interactsh Domain (Unverified),45.63.110.208
asi.oastable.com,80,Possible Interactsh Domain (Unverified),45.63.110.208
assetnote-callback.com,465,Possible Interactsh Domain (Unverified),45.79.215.101
assetnote-callback.com,587,Possible Interactsh Domain (Unverified),45.79.215.101
assets-cdn.cloud,465,Possible Interactsh Domain (Unverified),138.68.254.247
assets-cdn.cloud,8025,Possible Interactsh Domain (Unverified),138.68.254.247
assets-cdn.cloud,8080,Possible Interactsh Domain (Unverified),138.68.254.247
atko-burp.com,80,Possible BurpSuite Collaborator Domain (Unverified),172.236.227.243
audimx.eastus2.cloudapp.azure.com,4321,Possible AdaptixC2 Domain (Unverified),74.249.84.175
audit.telmat-informatique.fr,54321,Possible Havoc Domain (Unverified),212.103.26.10
audit2.hisolutions.com,443,Possible BurpSuite Collaborator Domain (Unverified),89.247.178.35
audit2.hisolutions.com,80,Possible BurpSuite Collaborator Domain (Unverified),89.247.178.35
austtxattwifi.com,25,Possible Interactsh Domain (Unverified),217.216.50.202
austtxattwifi.com,443,Possible Interactsh Domain (Unverified),217.216.50.202
austtxattwifi.com,80,Possible Interactsh Domain (Unverified),217.216.50.202
autoconfig.reply.zle.ee,55678,Possible wstunnel Domain (Unverified),128.204.223.99
av1.hostiplayks.com,443,Possible PureRAT Domain (Unverified),194.9.6.82
awmdn.com,7443,Possible Mythic Domain (Unverified),172.174.234.34
awsz.uno,587,Possible Interactsh Domain (Unverified),163.245.192.241
axnv.in,443,Possible BurpSuite Collaborator Domain (Unverified),51.83.128.26
axss.app,80,Possible Interactsh Domain (Unverified),182.160.6.63
azburp.in,443,Possible BurpSuite Collaborator Domain (Unverified),54.163.40.81
azburp.in,80,Possible BurpSuite Collaborator Domain (Unverified),54.163.40.81
azcollab.pr3v3nity.pl,443,Possible BurpSuite Collaborator Domain (Unverified),134.112.16.24
azcollab.pr3v3nity.pl,80,Possible BurpSuite Collaborator Domain (Unverified),134.112.16.24
azuregateway-2c390077-fec1-413e-aab4-6a91ae73470f-fbcf4741836a.prodbvt.vpn.azure.com,18045,Possible Interactsh Domain (Unverified),20.228.221.124
azuregateway-2c390077-fec1-413e-aab4-6a91ae73470f-fbcf4741836a.prodbvt.vpn.azure.com,80,Possible Interactsh Domain (Unverified),20.228.221.124
azuregateway-2c390077-fec1-413e-aab4-6a91ae73470f-fbcf4741836a.prodbvt.vpn.azure.com,8082,Possible Interactsh Domain (Unverified),20.228.221.124
b.0wn.at,443,Possible BurpSuite Collaborator Domain (Unverified),185.238.32.140
b.0wn.at,80,Possible BurpSuite Collaborator Domain (Unverified),185.238.32.140
b.almd.fr,443,Possible BurpSuite Collaborator Domain (Unverified),185.11.188.99
b.almd.fr,80,Possible BurpSuite Collaborator Domain (Unverified),185.11.188.99
b.chx.bz,587,Possible Interactsh Domain (Unverified),23.239.13.64
b.cynlab.uk,443,Possible BurpSuite Collaborator Domain (Unverified),18.169.79.77
b.cynlab.uk,80,Possible BurpSuite Collaborator Domain (Unverified),18.169.79.77
b.dxcsecops.com,443,Possible BurpSuite Collaborator Domain (Unverified),3.65.29.96
b.dxcsecops.com,80,Possible BurpSuite Collaborator Domain (Unverified),3.65.29.96
b.horadrim.xyz,443,Possible BurpSuite Collaborator Domain (Unverified),18.189.228.148
b.horadrim.xyz,80,Possible BurpSuite Collaborator Domain (Unverified),18.189.228.148
b.i2y.me,25,Possible Interactsh Domain (Unverified),144.34.166.52
b.i2y.me,443,Possible Interactsh Domain (Unverified),144.34.166.52
b.i2y.me,465,Possible Interactsh Domain (Unverified),144.34.166.52
b.i2y.me,587,Possible Interactsh Domain (Unverified),144.34.166.52
b.i2y.me,80,Possible Interactsh Domain (Unverified),144.34.166.52
b.inty.io,443,Possible BurpSuite Collaborator Domain (Unverified),84.22.115.173
b.inty.io,80,Possible BurpSuite Collaborator Domain (Unverified),84.22.115.173
b.k0.lc,443,Possible BurpSuite Collaborator Domain (Unverified),45.147.97.226
b.k0.lc,80,Possible BurpSuite Collaborator Domain (Unverified),45.147.97.226
b.k0.wf,25,Possible Interactsh Domain (Unverified),31.220.85.3
b.k0.wf,443,Possible Interactsh Domain (Unverified),31.220.85.3
b.k0.wf,465,Possible Interactsh Domain (Unverified),31.220.85.3
b.k0.wf,587,Possible Interactsh Domain (Unverified),31.220.85.3
b.k0.wf,80,Possible Interactsh Domain (Unverified),31.220.85.3
b.nf,443,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.nf,80,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.nf,8080,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.nf,8443,Possible BurpSuite Collaborator Domain (Unverified),44.210.45.110
b.p7z.pw,443,Possible BurpSuite Collaborator Domain (Unverified),128.199.181.95
b.p7z.pw,80,Possible BurpSuite Collaborator Domain (Unverified),128.199.181.95
b.s2i.ninja,443,Possible BurpSuite Collaborator Domain (Unverified),3.121.184.60
b.s2i.ninja,80,Possible BurpSuite Collaborator Domain (Unverified),3.121.184.60
b.sbatest.at,443,Possible BurpSuite Collaborator Domain (Unverified),185.81.215.149
b.sbatest.at,80,Possible BurpSuite Collaborator Domain (Unverified),185.81.215.149
b.vapt.team,33443,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,3380,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,443,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b.vapt.team,80,Possible BurpSuite Collaborator Domain (Unverified),157.245.156.207
b2.tlab.dpdns.org,443,Possible BurpSuite Collaborator Domain (Unverified),23.95.8.245
b2.tlab.dpdns.org,80,Possible BurpSuite Collaborator Domain (Unverified),23.95.8.245
b6e.eu,25,Possible Interactsh Domain (Unverified),78.46.86.110
b6e.eu,443,Possible Interactsh Domain (Unverified),78.46.86.110
b6e.eu,465,Possible Interactsh Domain (Unverified),78.46.86.110
b6e.eu,587,Possible Interactsh Domain (Unverified),78.46.86.110
b6e.eu,80,Possible Interactsh Domain (Unverified),78.46.86.110
bandage.healthydefinitetrunk.com,443,Possible DinDoor Domain (Unverified),138.124.240.76
bandage.healthydefinitetrunk.com,80,Possible DinDoor Domain (Unverified),138.124.240.76
barberka.com,80,Possible DinDoor Domain (Unverified),23.94.252.55
barbersia.com,80,Possible DinDoor Domain (Unverified),23.94.252.7
bardatsky.top,9000,Possible DevilGinx Domain (Unverified),185.212.129.70
bardatsky.top,9000,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.129.70
bask.betterhost.pro,56001,Possible PureRAT Domain (Unverified),23.160.168.51
batteryicc.top,80,Possible Interactsh Domain (Unverified),152.136.201.53
batteryicc.top,9010,Possible Interactsh Domain (Unverified),152.136.201.53
bb.agarfer.com,443,Possible Interactsh Domain (Unverified),37.27.253.170
bb.agarfer.com,80,Possible Interactsh Domain (Unverified),37.27.253.170
bbpvdp.uk,443,Possible BurpSuite Collaborator Domain (Unverified),89.117.52.233
bbpvdp.uk,80,Possible BurpSuite Collaborator Domain (Unverified),89.117.52.233
bbreadbbh.com,443,Possible Interactsh Domain (Unverified),165.227.193.195
bbreadbbh.com,80,Possible Interactsh Domain (Unverified),165.227.193.195
bbs.mythicalkingdom.com,11235,Possible Mythic Domain (Unverified),132.145.210.148
bbs.mythicalkingdom.com,8443,Possible Mythic Domain (Unverified),132.145.210.148
bc-hackner-security.com,443,Possible BurpSuite Collaborator Domain (Unverified),213.164.30.187
bc-hackner-security.com,80,Possible BurpSuite Collaborator Domain (Unverified),213.164.30.187
bc.6dgoffsec.co.uk,80,Possible BurpSuite Collaborator Domain (Unverified),35.176.205.155
bc.cybercloud.io,443,Possible BurpSuite Collaborator Domain (Unverified),167.71.68.76
bc.cybercloud.io,80,Possible BurpSuite Collaborator Domain (Unverified),167.71.68.76
bc.foofussec.net,443,Possible BurpSuite Collaborator Domain (Unverified),64.73.162.3
bc.foofussec.net,80,Possible BurpSuite Collaborator Domain (Unverified),64.73.162.3
bc.gdxd.de,443,Possible BurpSuite Collaborator Domain (Unverified),194.156.84.21
bc.kbry.net,443,Possible BurpSuite Collaborator Domain (Unverified),34.231.199.127
bc.kbry.net,80,Possible BurpSuite Collaborator Domain (Unverified),34.231.199.127
bc.nhbr.sh,443,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.nhbr.sh,80,Possible BurpSuite Collaborator Domain (Unverified),3.231.45.135
bc.oauth.us.to,443,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
bc.oauth.us.to,80,Possible BurpSuite Collaborator Domain (Unverified),35.163.235.51
