dest_ip,dest_port
103.21.244.49,80
103.21.244.4,80
103.21.244.50,80
103.21.244.53,80
103.21.244.54,80
103.21.244.58,80
103.21.244.60,80
103.21.244.62,80
103.21.244.66,80
103.21.244.67,80
103.21.244.72,80
103.21.244.76,80
103.21.244.80,80
103.21.244.83,80
103.21.244.85,80
103.21.244.88,80
103.21.244.89,80
103.21.244.90,80
103.21.244.94,80
103.21.244.96,80
103.21.244.97,80
103.21.244.98,80
103.21.244.99,80
103.210.31.49,31433
103.210.35.183,8080
103.210.57.243,80
103.211.26.230,8181
103.212.239.42,3125
103.213.97.78,80
103.214.201.209,80
103.214.201.209,8080
103.214.238.42,8080
103.214.251.53,8080
103.215.207.50,81
103.215.207.50,83
103.215.207.54,81
103.215.207.54,83
103.215.207.98,81
103.215.207.98,82
103.215.207.98,83
103.215.25.86,4995
103.216.49.188,32650
103.216.50.88,32650
103.217.173.210,53905
103.217.213.124,32650
103.217.216.71,1111
103.217.224.75,3125
103.219.160.145,6565
103.22.173.77,1111
103.220.206.110,59570
103.220.22.105,8080
103.220.23.113,8080
103.221.254.121,8080
103.226.232.188,3125
103.227.187.11,6090
103.227.187.193,6080
103.227.187.23,8080
103.227.252.102,8080
103.228.246.131,8085
103.23.236.162,8080
103.230.244.1,8090
103.230.48.110,8082
103.233.152.18,8080
103.234.35.166,8080
103.235.34.186,7777
103.236.191.83,8080
103.237.102.191,11111
103.238.232.114,8080
103.238.232.38,8080
103.238.232.50,8080
103.239.253.66,8080
103.24.125.33,83
103.24.125.33,84
103.241.206.29,3129
103.242.104.191,8080
103.242.105.199,8199
103.242.119.88,80
103.243.177.90,8080
103.243.82.38,8008
103.244.38.36,3125
103.245.110.198,1452
103.245.16.133,8080
103.245.204.42,8080
103.245.96.161,3214
103.246.3.202,4153
103.247.13.134,8080
103.247.14.222,8080
103.247.21.101,1080
103.247.217.17,8080
103.247.22.57,2022
103.247.22.71,3127
103.247.22.88,4317
103.247.23.242,1111
103.248.120.5,8080
103.248.197.11,3125
103.248.197.12,3125
103.25.192.121,8080
103.25.209.206,8282
103.25.79.178,4700
103.253.153.21,31979
103.253.153.22,32650
103.253.43.144,80
103.254.185.195,53281
103.254.57.227,48293
103.254.68.83,15010
103.26.10.23,2080
103.26.14.158,8080
103.30.127.22,18081
103.30.211.34,80
103.30.246.41,8888
103.36.10.194,3125
103.36.11.134,8181
103.36.11.161,3125
103.36.11.167,8080
103.36.35.135,8080
103.36.8.134,3125
103.38.5.226,81
103.38.5.226,82
103.38.5.226,83
103.39.51.184,80
103.39.51.184,8088
103.39.51.48,8090
103.40.122.194,1080
103.41.33.169,58080
103.41.89.2,83
103.41.97.225,83
103.42.162.50,8080
103.43.191.71,8888
103.46.11.116,8080
103.46.11.182,8080
103.46.186.17,8090
103.47.175.161,83
103.47.228.66,8080
103.47.67.154,8080
103.48.68.108,82
103.48.68.108,83
103.48.68.108,84
103.48.68.11,83
103.48.68.11,84
103.48.68.170,83
103.48.68.18,83
103.48.68.219,83
103.48.68.34,82
103.48.68.34,83
103.48.68.34,84
103.48.68.35,82
103.48.68.35,83
103.48.68.35,84
103.48.68.37,82
103.48.68.37,83
103.48.68.37,84
103.48.68.67,83
103.48.68.82,83
103.48.69.70,83
103.48.71.130,83
103.48.71.142,82
103.48.71.142,83
103.48.71.166,83
103.48.71.2,82
103.48.71.50,83
103.48.71.58,84
103.48.71.70,83
103.5.109.253,8085
103.51.153.82,80
103.51.205.42,8181
103.51.21.250,83
103.52.144.49,8080
103.52.152.92,18080
103.54.43.131,8080
103.55.63.14,1080
103.55.88.53,8080
103.56.80.39,8080
103.58.95.5,8080
103.59.176.154,8080
103.59.200.26,4145
103.6.177.174,8002
103.60.138.2,4153
103.60.161.18,8080
103.61.122.229,1080
103.61.16.20,8780
103.65.193.200,32650
103.65.214.150,8082
103.65.237.92,5678
103.65.238.86,8080
103.66.197.2,8080
103.68.185.25,32650
103.68.213.12,8080
103.68.214.164,8080
103.68.215.57,8181
103.69.108.78,8191
103.69.129.89,24444
103.69.148.16,8090
103.69.151.189,8080
103.69.96.15,7777
103.70.171.159,80
103.70.44.6,8080
103.70.79.2,8080
103.70.79.3,8080
103.71.162.25,8181
103.71.162.27,8181
103.71.64.130,3129
103.73.164.190,32650
103.74.144.57,80
103.74.229.133,8080
103.75.117.79,80
103.75.118.84,1080
103.75.52.193,8989
103.75.96.70,8080
103.76.12.158,8080
103.76.12.42,80
103.76.12.42,8181
103.76.149.140,1080
103.76.151.133,8181
103.76.151.90,8080
103.76.27.34,8080
103.77.62.134,8080
103.78.105.85,8989
103.78.113.34,8080
103.78.9.198,10001
103.78.97.38,8080
103.79.16.44,50009
103.79.35.107,34525
103.8.59.12,8080
103.80.118.33,8080
103.80.214.107,8181
103.80.214.243,1111
103.80.237.10,8080
103.80.237.211,3888
103.80.88.77,8080
103.81.110.212,35899
103.81.175.146,22311
103.81.194.160,7070
103.81.212.192,82
103.81.212.192,83
103.81.214.235,82
103.81.214.235,83
103.81.214.235,84
103.81.255.141,8080
103.82.20.76,8080
103.82.227.22,3128
103.82.23.118,6323
103.82.233.2,53281
103.82.246.27,6080
103.82.9.129,8989
103.83.179.106,8181
103.83.19.126,80
103.85.183.30,4995
103.87.202.94,5566
103.87.85.198,80
103.88.221.194,46450
103.88.237.97,84
103.89.24.161,8291
103.9.124.50,8080
103.90.156.248,8080
103.90.67.46,8080
103.91.82.177,8080
103.92.218.233,9514
103.93.34.17,8999
103.93.93.170,8181
103.94.170.202,3888
103.94.251.91,8085
103.94.52.70,3128
103.94.52.70,3129
103.95.23.130,8097
103.97.140.127,3125
103.97.140.64,8080
103.97.224.239,8841
103.97.46.214,82
103.97.46.214,83
103.97.46.214,84
103.99.136.98,8080
104.143.224.121,5982
104.143.224.13,5874
104.143.224.60,5921
104.143.226.115,5718
104.143.226.150,5753
104.143.226.179,5782
104.143.226.206,5809
104.143.226.239,5842
104.143.226.90,5693
104.143.226.9,5612
104.154.186.48,80
104.156.151.10,1080
104.161.23.122,5009
104.164.131.98,7277
104.164.49.246,7901
104.165.189.82,6737
104.165.189.83,6738
104.168.118.3,5959
104.168.8.106,5559
104.194.146.9,80
104.194.148.188,3128
104.194.148.204,80
104.199.219.13,3128
104.200.21.190,8080
104.207.153.122,10808
104.207.153.122,10818
104.207.33.245,3129
104.207.34.216,3129
104.207.35.248,3129
104.207.37.189,3129
104.207.40.1,3129
104.207.42.117,3129
104.207.44.123,3129
104.230.113.255,80
104.232.209.149,6107
104.232.209.195,6153
104.238.50.186,6732
104.239.104.43,6267
104.239.105.136,6666
104.239.106.232,5877
104.239.106.23,5668
104.239.19.180,6857
104.239.78.96,6041
104.253.48.39,5463
104.253.77.114,5536
104.253.77.124,5546
105.112.135.166,8080
105.112.83.165,8080
105.174.40.54,8080
105.19.63.217,9812
105.27.127.70,1080
105.27.130.22,9812
105.27.180.194,1080
