fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
homoglyph,xn--labamquepostal-8jb.fr,,,,
homoglyph,xn--labamquepostal-jlb.fr,,,,
homoglyph,xn--labamquepostal-okb.fr,,,,
homoglyph,xn--labamquepostle-1hb.fr,,,,
homoglyph,xn--labamquepostle-6gb.fr,,,,
homoglyph,xn--labamquepostle-hib.fr,,,,
homoglyph,xn--labamquepostle-mhb.fr,,,,
homoglyph,xn--labamquepostle-rgb.fr,,,,
homoglyph,xn--labamquepostle-wib.fr,,,,
homoglyph,xn--labamquepstale-3pb.fr,,,,
homoglyph,xn--labamquepstale-8ob.fr,,,,
homoglyph,xn--labamquepstale-eob.fr,,,,
homoglyph,xn--labamquepstale-opb.fr,,,,
homoglyph,xn--labamquepstale-tob.fr,,,,
homoglyph,xn--labamqupostale-1jb.fr,,,,
homoglyph,xn--labamqupostale-clb.fr,,,,
homoglyph,xn--labamqupostale-hkb.fr,,,,
homoglyph,xn--labamqupostale-wkb.fr,,,,
homoglyph,xn--labangepostale-5rb.fr,,,,
homoglyph,xn--labangepostale-brb.fr,,,,
homoglyph,xn--labangepostale-lsb.fr,,,,
homoglyph,xn--labangepostale-qrb.fr,,,,
homoglyph,xn--labanguepostal-3kb.fr,,,,
homoglyph,xn--labanguepostal-8jb.fr,,,,
homoglyph,xn--labanguepostal-jlb.fr,,,,
homoglyph,xn--labanguepostal-okb.fr,,,,
homoglyph,xn--labanguepostle-1hb.fr,,,,
homoglyph,xn--labanguepostle-6gb.fr,,,,
homoglyph,xn--labanguepostle-hib.fr,,,,
homoglyph,xn--labanguepostle-mhb.fr,,,,
homoglyph,xn--labanguepostle-rgb.fr,,,,
homoglyph,xn--labanguepostle-wib.fr,,,,
homoglyph,xn--labanguepstale-3pb.fr,,,,
homoglyph,xn--labanguepstale-8ob.fr,,,,
homoglyph,xn--labanguepstale-eob.fr,,,,
homoglyph,xn--labanguepstale-opb.fr,,,,
homoglyph,xn--labanguepstale-tob.fr,,,,
homoglyph,xn--labangupostale-1jb.fr,,,,
homoglyph,xn--labangupostale-clb.fr,,,,
homoglyph,xn--labangupostale-hkb.fr,,,,
homoglyph,xn--labangupostale-wkb.fr,,,,
homoglyph,xn--labanqcpostale-5rb.fr,,,,
homoglyph,xn--labanqcpostale-brb.fr,,,,
homoglyph,xn--labanqcpostale-lsb.fr,,,,
homoglyph,xn--labanqcpostale-qrb.fr,,,,
homoglyph,xn--labanqep0stale-5rb.fr,,,,
homoglyph,xn--labanqep0stale-brb.fr,,,,
homoglyph,xn--labanqep0stale-lsb.fr,,,,
homoglyph,xn--labanqep0stale-qrb.fr,,,,
homoglyph,xn--labanqeposta1e-5rb.fr,,,,
homoglyph,xn--labanqeposta1e-brb.fr,,,,
homoglyph,xn--labanqeposta1e-lsb.fr,,,,
homoglyph,xn--labanqeposta1e-qrb.fr,,,,
homoglyph,xn--labanqepostaie-5rb.fr,,,,
homoglyph,xn--labanqepostaie-brb.fr,,,,
homoglyph,xn--labanqepostaie-lsb.fr,,,,
homoglyph,xn--labanqepostaie-qrb.fr,,,,
homoglyph,xn--labanqepostal-1hb1t.fr,,,,
homoglyph,xn--labanqepostal-1hb1w.fr,,,,
homoglyph,xn--labanqepostal-1hb6u.fr,,,,
homoglyph,xn--labanqepostal-1hb6x.fr,,,,
homoglyph,xn--labanqepostal-8gb1w.fr,,,,
homoglyph,xn--labanqepostal-8gb1z.fr,,,,
homoglyph,xn--labanqepostal-8gb60a.fr,,,,
homoglyph,xn--labanqepostal-8gb6x.fr,,,,
homoglyph,xn--labanqepostal-gib1t.fr,,,,
homoglyph,xn--labanqepostal-gib1w.fr,,,,
homoglyph,xn--labanqepostal-gib6r.fr,,,,
homoglyph,xn--labanqepostal-gib6u.fr,,,,
homoglyph,xn--labanqepostal-nhb1w.fr,,,,
homoglyph,xn--labanqepostal-nhb1z.fr,,,,
homoglyph,xn--labanqepostal-nhb6u.fr,,,,
homoglyph,xn--labanqepostal-nhb6x.fr,,,,
homoglyph,xn--labanqepostalc-5rb.fr,,,,
homoglyph,xn--labanqepostalc-brb.fr,,,,
homoglyph,xn--labanqepostalc-lsb.fr,,,,
homoglyph,xn--labanqepostalc-qrb.fr,,,,
homoglyph,xn--labanqepostale-5rb.fr,,,,
homoglyph,xn--labanqepostale-brb.fr,,,,
homoglyph,xn--labanqepostale-lsb.fr,,,,
homoglyph,xn--labanqepostale-qrb.fr,,,,
homoglyph,xn--labanqepostle-6eb35a.fr,,,,
homoglyph,xn--labanqepostle-6eb38a.fr,,,,
homoglyph,xn--labanqepostle-6eb83a.fr,,,,
homoglyph,xn--labanqepostle-6eb86a.fr,,,,
homoglyph,xn--labanqepostle-eeb31b.fr,,,,
homoglyph,xn--labanqepostle-eeb38a.fr,,,,
homoglyph,xn--labanqepostle-eeb86a.fr,,,,
homoglyph,xn--labanqepostle-eeb89a.fr,,,,
homoglyph,xn--labanqepostle-lfb32a.fr,,,,
homoglyph,xn--labanqepostle-lfb35a.fr,,,,
homoglyph,xn--labanqepostle-lfb83a.fr,,,,
homoglyph,xn--labanqepostle-lfb86a.fr,,,,
homoglyph,xn--labanqepostle-seb35a.fr,,,,
homoglyph,xn--labanqepostle-seb38a.fr,,,,
homoglyph,xn--labanqepostle-seb86a.fr,,,,
homoglyph,xn--labanqepostle-seb89a.fr,,,,
homoglyph,xn--labanqepostle-zdb31b.fr,,,,
homoglyph,xn--labanqepostle-zdb38a.fr,,,,
homoglyph,xn--labanqepostle-zdb82b.fr,,,,
homoglyph,xn--labanqepostle-zdb89a.fr,,,,
homoglyph,xn--labanqepostle-zfb32a.fr,,,,
homoglyph,xn--labanqepostle-zfb35a.fr,,,,
homoglyph,xn--labanqepostle-zfb80a.fr,,,,
homoglyph,xn--labanqepostle-zfb83a.fr,,,,
homoglyph,xn--labanqepstale-3kb1j.fr,,,,
homoglyph,xn--labanqepstale-3kb1m.fr,,,,
homoglyph,xn--labanqepstale-3kb6h.fr,,,,
homoglyph,xn--labanqepstale-3kb6k.fr,,,,
