process,OriginalFileName,process_name,parent_process_command,parent_process_name,file_path,process_path,parent_process,signature,signature_id,index,sourcetype,source,meta.comment,meta.vendor_product,meta.lolbas_executable,meta.lolbas_link
,,msbuild.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,microsoft.workflow.compiler.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,searchprotocolhost.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,scrcons.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,cscript.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,wscript.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,powershell.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,cmd.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,powershell.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,colorcpl.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,msbuild.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,microsoft.workflow.compiler.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,searchprotocolhost.exe,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
