src_ip,service,scope,metadata_reference
34.98.128.0/21,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.100.128.0/17,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.101.18.0/24,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.101.20.0/22,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.101.24.0/22,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.101.32.0/19,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.101.64.0/18,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.101.128.0/17,Google Cloud,asia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.102.0.0/17,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.102.128.0/17,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.104.27.0/24,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.104.49.0/24,Google Cloud,asia-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.104.50.0/23,Google Cloud,southamerica-west1,https://www.gstatic.com/ipranges/cloud.json
34.104.52.0/24,Google Cloud,us-west3,https://www.gstatic.com/ipranges/cloud.json
34.104.56.0/23,Google Cloud,us-east7,https://www.gstatic.com/ipranges/cloud.json
34.104.58.0/23,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.104.60.0/23,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.104.62.0/23,Google Cloud,asia-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.104.64.0/21,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.104.72.0/22,Google Cloud,us-west4,https://www.gstatic.com/ipranges/cloud.json
34.104.76.0/22,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.104.80.0/21,Google Cloud,southamerica-east1,https://www.gstatic.com/ipranges/cloud.json
34.104.88.0/21,Google Cloud,asia-east2,https://www.gstatic.com/ipranges/cloud.json
34.104.96.0/21,Google Cloud,europe-north1,https://www.gstatic.com/ipranges/cloud.json
34.104.104.0/23,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.104.106.0/23,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.104.108.0/23,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.104.110.0/23,Google Cloud,europe-west6,https://www.gstatic.com/ipranges/cloud.json
34.104.112.0/23,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.104.114.0/23,Google Cloud,northamerica-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.104.116.0/22,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.104.120.0/23,Google Cloud,asia-south2,https://www.gstatic.com/ipranges/cloud.json
34.104.122.0/23,Google Cloud,australia-southeast2,https://www.gstatic.com/ipranges/cloud.json
34.104.124.0/23,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.104.126.0/23,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.104.128.0/17,Google Cloud,asia-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.105.0.0/17,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.105.128.0/17,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.106.0.0/16,Google Cloud,us-west3,https://www.gstatic.com/ipranges/cloud.json
34.107.0.0/17,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.107.128.0/17,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.108.0.0/16,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.110.128.0/17,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.111.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.112.0.0/16,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.116.0.0/21,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.116.64.0/18,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.116.128.0/17,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.117.0.0/16,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.118.0.0/17,Google Cloud,europe-central2,https://www.gstatic.com/ipranges/cloud.json
34.118.128.0/18,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.118.192.0/21,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.118.200.0/21,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
