domain,metadata_comment
frk9qw3pqt0dx.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
future.dingtalk.com,Possible Cobalt Strike C2 Fronted Domain
fx.doubao.com,Possible Cobalt Strike C2 Domain
gatewayeveinstall.google.com,Possible Cobalt Strike C2 Domain
get-musciqq-xqifzpfeed.cn-beijing.fcapp.run,Possible Cobalt Strike C2 Domain
ggjvk3v5bzopisqkf7kd5el2j40gdgcu.lambda-url.ap-southeast-1.on.aws,Possible Cobalt Strike C2 Domain
gmail.myddns.me,Possible Cobalt Strike C2 Domain
google.baobecgiang.net,Possible Cobalt Strike C2 Domain
google.dns-1.help,Possible Cobalt Strike C2 Domain
h67as5d5x.m6p3wca1.cc,Possible Cobalt Strike C2 Domain
help.clickckckck.click,Possible Cobalt Strike C2 Domain
help3.proxywebsite.top,Possible Cobalt Strike C2 Domain
helpremote.cc,Possible Cobalt Strike C2 Domain
hide-cruise-raises-phases.trycloudflare.com,Possible Cobalt Strike C2 Domain
hostikslu.is,Possible Cobalt Strike C2 Domain
img1.huorongsec.com,Possible Cobalt Strike C2 Domain
img2.huorongsec.com,Possible Cobalt Strike C2 Domain
jkzprb4y.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
jnceabyk.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
job.itechno.cc,Possible Cobalt Strike C2 Domain
js.jquery.cn.com,Possible Cobalt Strike C2 Domain
kl.kimlinlin.com,Possible Cobalt Strike C2 Domain
kycdn.azure-css.com,Possible Cobalt Strike C2 Domain
l.x-ai.win,Possible Cobalt Strike C2 Domain
lab.google-analytcis.com,Possible Cobalt Strike C2 Domain
linuxkerneldbs.com,Possible Cobalt Strike C2 Domain
log.logogogogo.click,Possible Cobalt Strike C2 Domain
mail.outlook365.vip,Possible Cobalt Strike C2 Domain
metric-take-datadqct.com,Possible Cobalt Strike C2 Domain
microsoft-schtask.com,Possible Cobalt Strike C2 Domain
microsoftcdn.accesscam.org,Possible Cobalt Strike C2 Domain
missmovie.lol,Possible Cobalt Strike C2 Domain
mlcos.cdnupdate.net,Possible Cobalt Strike C2 Domain
mlcs.mlface.net,Possible Cobalt Strike C2 Domain
msg.msdegeup.com,Possible Cobalt Strike C2 Domain
n1.google-analytcis.com,Possible Cobalt Strike C2 Domain
n2.google-analytcis.com,Possible Cobalt Strike C2 Domain
n3.google-analytcis.com,Possible Cobalt Strike C2 Domain
new.sys-update.online,Possible Cobalt Strike C2 Domain
nexcumhotel.com,Possible Cobalt Strike C2 Fronted Domain
nexus.cssc.design,Possible Cobalt Strike C2 Domain
nfs.azure-css.com,Possible Cobalt Strike C2 Domain
ns.1.3.0o0.foo,Possible Cobalt Strike C2 Domain
ns.1.4.0o0.foo,Possible Cobalt Strike C2 Domain
ns.jumpservers.net,Possible Cobalt Strike C2 Domain
ns.yukklzwo.vip,Possible Cobalt Strike C2 Domain
ns1.admlistdel.com,Possible Cobalt Strike C2 Domain
ns1.akawowfast.com,Possible Cobalt Strike C2 Domain
ns1.bbcbook.net,Possible Cobalt Strike C2 Domain
ns1.cacheflow.top,Possible Cobalt Strike C2 Domain
ns1.ceshi897.cn,Possible Cobalt Strike C2 Domain
ns1.cmbchina.top,Possible Cobalt Strike C2 Domain
ns1.cryptwechat.com,Possible Cobalt Strike C2 Domain
ns1.deepsekapi.cn,Possible Cobalt Strike C2 Domain
ns1.duoo.cc,Possible Cobalt Strike C2 Domain
ns1.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain
ns1.googleclouds.net,Possible Cobalt Strike C2 Domain
ns1.gygiuh.online,Possible Cobalt Strike C2 Domain
ns1.jane2010.filegear-sg.me,Possible Cobalt Strike C2 Domain
ns1.jquery.cn.com,Possible Cobalt Strike C2 Domain
ns1.jszwfw.com.cn,Possible Cobalt Strike C2 Domain
ns1.mhtmzl.top,Possible Cobalt Strike C2 Domain
ns1.microoosoft.com,Possible Cobalt Strike C2 Domain
ns1.msgkg.xyz,Possible Cobalt Strike C2 Domain
ns1.newchatsits.ir,Possible Cobalt Strike C2 Domain
ns1.nmd5.com,Possible Cobalt Strike C2 Domain
ns1.ns-apache.jo3.org,Possible Cobalt Strike C2 Domain
ns1.nsebseshop.cloud,Possible Cobalt Strike C2 Domain
ns1.servicedata.services,Possible Cobalt Strike C2 Domain
