ip,metadata_comment
110.41.66.39,Possible Cobaltstrike C2 IP
110.42.211.101,Possible Cobaltstrike C2 IP
110.42.232.120,Possible Cobaltstrike C2 IP
110.42.67.208,Possible Cobaltstrike C2 IP
111.119.234.255,Possible Cobaltstrike C2 IP
111.124.203.18,Possible Cobaltstrike C2 IP
111.184.210.45,Possible Cobaltstrike C2 IP
111.228.24.38,Possible Cobaltstrike C2 IP
111.228.26.26,Possible Cobaltstrike C2 IP
111.228.3.39,Possible Cobaltstrike C2 IP
111.228.35.33,Possible Cobaltstrike C2 IP
111.228.4.54,Possible Cobaltstrike C2 IP
111.228.40.85,Possible Cobaltstrike C2 IP
111.228.55.96,Possible Cobaltstrike C2 IP
111.229.178.230,Possible Cobaltstrike C2 IP
111.229.187.190,Possible Cobaltstrike C2 IP
111.229.239.68,Possible Cobaltstrike C2 IP
111.229.4.108,Possible Cobaltstrike C2 IP
111.229.43.212,Possible Cobaltstrike C2 IP
111.230.113.53,Possible Cobaltstrike C2 IP
111.230.217.36,Possible Cobaltstrike C2 IP
111.230.25.167,Possible Cobaltstrike C2 IP
111.230.5.199,Possible Cobaltstrike C2 IP
111.92.243.40,Possible Cobaltstrike C2 IP
111.92.243.97,Possible Cobaltstrike C2 IP
112.124.32.100,Possible Cobaltstrike C2 IP
112.124.36.95,Possible Cobaltstrike C2 IP
112.124.71.123,Possible Cobaltstrike C2 IP
112.125.88.176,Possible Cobaltstrike C2 IP
112.126.68.61,Possible Cobaltstrike C2 IP
112.13.173.76,Possible Cobaltstrike C2 IP
112.213.106.53,Possible Cobaltstrike C2 IP
112.3.31.155,Possible Cobaltstrike C2 IP
113.250.188.15,Possible Cobaltstrike C2 IP
113.31.115.231,Possible Cobaltstrike C2 IP
113.44.67.52,Possible Cobaltstrike C2 IP
113.45.185.225,Possible Cobaltstrike C2 IP
113.45.199.211,Possible Cobaltstrike C2 IP
113.45.253.80,Possible Cobaltstrike C2 IP
113.47.12.71,Possible Cobaltstrike C2 IP
113.5.183.211,Possible Cobaltstrike C2 IP
114.132.150.96,Possible Cobaltstrike C2 IP
114.132.217.187,Possible Cobaltstrike C2 IP
114.132.222.244,Possible Cobaltstrike C2 IP
114.132.235.230,Possible Cobaltstrike C2 IP
114.132.248.120,Possible Cobaltstrike C2 IP
114.132.251.233,Possible Cobaltstrike C2 IP
114.132.60.44,Possible Cobaltstrike C2 IP
114.132.90.105,Possible Cobaltstrike C2 IP
114.242.13.218,Possible Cobaltstrike C2 IP
114.55.250.225,Possible Cobaltstrike C2 IP
114.55.34.71,Possible Cobaltstrike C2 IP
114.66.38.114,Possible Cobaltstrike C2 IP
114.67.243.235,Possible Cobaltstrike C2 IP
114.67.81.148,Possible Cobaltstrike C2 IP
114.96.89.69,Possible Cobaltstrike C2 IP
115.120.210.236,Possible Cobaltstrike C2 IP
115.120.245.134,Possible Cobaltstrike C2 IP
115.190.140.220,Possible Cobaltstrike C2 IP
115.190.149.214,Possible Cobaltstrike C2 IP
115.190.161.178,Possible Cobaltstrike C2 IP
115.190.178.249,Possible Cobaltstrike C2 IP
115.190.233.79,Possible Cobaltstrike C2 IP
115.190.235.92,Possible Cobaltstrike C2 IP
115.190.237.175,Possible Cobaltstrike C2 IP
115.190.244.119,Possible Cobaltstrike C2 IP
115.190.250.28,Possible Cobaltstrike C2 IP
115.190.53.184,Possible Cobaltstrike C2 IP
115.190.58.252,Possible Cobaltstrike C2 IP
115.191.25.159,Possible Cobaltstrike C2 IP
115.29.231.140,Possible Cobaltstrike C2 IP
116.196.67.90,Possible Cobaltstrike C2 IP
116.196.75.68,Possible Cobaltstrike C2 IP
116.196.95.100,Possible Cobaltstrike C2 IP
116.198.229.197,Possible Cobaltstrike C2 IP
116.198.233.179,Possible Cobaltstrike C2 IP
116.198.35.93,Possible Cobaltstrike C2 IP
116.198.41.59,Possible Cobaltstrike C2 IP
116.203.31.207,Possible Cobaltstrike C2 IP
116.205.143.204,Possible Cobaltstrike C2 IP
116.230.254.66,Possible Cobaltstrike C2 IP
116.62.226.163,Possible Cobaltstrike C2 IP
116.62.64.54,Possible Cobaltstrike C2 IP
117.21.178.210,Possible Cobaltstrike C2 IP
117.21.178.228,Possible Cobaltstrike C2 IP
117.50.163.22,Possible Cobaltstrike C2 IP
117.50.184.221,Possible Cobaltstrike C2 IP
117.50.190.56,Possible Cobaltstrike C2 IP
117.72.102.110,Possible Cobaltstrike C2 IP
117.72.13.112,Possible Cobaltstrike C2 IP
117.72.159.96,Possible Cobaltstrike C2 IP
117.72.168.103,Possible Cobaltstrike C2 IP
117.72.17.162,Possible Cobaltstrike C2 IP
117.72.175.125,Possible Cobaltstrike C2 IP
117.72.178.246,Possible Cobaltstrike C2 IP
117.72.181.104,Possible Cobaltstrike C2 IP
117.72.184.172,Possible Cobaltstrike C2 IP
117.72.191.140,Possible Cobaltstrike C2 IP
117.72.198.62,Possible Cobaltstrike C2 IP
117.72.199.157,Possible Cobaltstrike C2 IP
117.72.206.244,Possible Cobaltstrike C2 IP
117.72.214.50,Possible Cobaltstrike C2 IP
117.72.220.129,Possible Cobaltstrike C2 IP
117.72.222.203,Possible Cobaltstrike C2 IP
117.72.242.9,Possible Cobaltstrike C2 IP
117.72.39.83,Possible Cobaltstrike C2 IP
117.72.56.12,Possible Cobaltstrike C2 IP
117.72.68.211,Possible Cobaltstrike C2 IP
117.72.79.68,Possible Cobaltstrike C2 IP
118.107.0.254,Possible Cobaltstrike C2 IP
118.107.25.243,Possible Cobaltstrike C2 IP
118.178.135.188,Possible Cobaltstrike C2 IP
118.178.231.121,Possible Cobaltstrike C2 IP
118.24.121.59,Possible Cobaltstrike C2 IP
118.25.141.108,Possible Cobaltstrike C2 IP
118.25.147.157,Possible Cobaltstrike C2 IP
118.25.148.25,Possible Cobaltstrike C2 IP
118.25.178.35,Possible Cobaltstrike C2 IP
118.25.183.203,Possible Cobaltstrike C2 IP
118.25.85.198,Possible Cobaltstrike C2 IP
118.25.91.151,Possible Cobaltstrike C2 IP
118.26.39.237,Possible Cobaltstrike C2 IP
118.31.0.235,Possible Cobaltstrike C2 IP
118.31.114.149,Possible Cobaltstrike C2 IP
118.31.117.61,Possible Cobaltstrike C2 IP
118.31.16.216,Possible Cobaltstrike C2 IP
118.31.164.13,Possible Cobaltstrike C2 IP
118.31.18.77,Possible Cobaltstrike C2 IP
118.31.62.238,Possible Cobaltstrike C2 IP
118.89.73.78,Possible Cobaltstrike C2 IP
118.89.81.201,Possible Cobaltstrike C2 IP
118.89.88.183,Possible Cobaltstrike C2 IP
119.23.200.137,Possible Cobaltstrike C2 IP
119.23.208.137,Possible Cobaltstrike C2 IP
119.29.112.239,Possible Cobaltstrike C2 IP
119.29.112.57,Possible Cobaltstrike C2 IP
119.29.183.182,Possible Cobaltstrike C2 IP
119.29.198.193,Possible Cobaltstrike C2 IP
119.29.229.212,Possible Cobaltstrike C2 IP
119.29.236.125,Possible Cobaltstrike C2 IP
119.3.154.143,Possible Cobaltstrike C2 IP
119.3.156.32,Possible Cobaltstrike C2 IP
119.3.159.206,Possible Cobaltstrike C2 IP
119.45.127.240,Possible Cobaltstrike C2 IP
119.45.160.160,Possible Cobaltstrike C2 IP
119.45.25.66,Possible Cobaltstrike C2 IP
119.45.250.8,Possible Cobaltstrike C2 IP
119.45.27.209,Possible Cobaltstrike C2 IP
119.45.29.172,Possible Cobaltstrike C2 IP
119.91.141.52,Possible Cobaltstrike C2 IP
119.91.254.137,Possible Cobaltstrike C2 IP
119.91.26.245,Possible Cobaltstrike C2 IP
119.91.44.112,Possible Cobaltstrike C2 IP
119.91.54.176,Possible Cobaltstrike C2 IP
120.232.59.55,Possible Cobaltstrike C2 IP
120.24.169.38,Possible Cobaltstrike C2 IP
120.24.38.217,Possible Cobaltstrike C2 IP
120.24.64.74,Possible Cobaltstrike C2 IP
120.26.166.249,Possible Cobaltstrike C2 IP
120.26.18.220,Possible Cobaltstrike C2 IP
120.26.48.207,Possible Cobaltstrike C2 IP
120.27.211.70,Possible Cobaltstrike C2 IP
120.46.131.183,Possible Cobaltstrike C2 IP
120.46.212.33,Possible Cobaltstrike C2 IP
120.46.28.4,Possible Cobaltstrike C2 IP
120.46.3.183,Possible Cobaltstrike C2 IP
120.48.168.57,Possible Cobaltstrike C2 IP
120.48.18.226,Possible Cobaltstrike C2 IP
120.48.21.74,Possible Cobaltstrike C2 IP
120.48.25.153,Possible Cobaltstrike C2 IP
120.48.43.140,Possible Cobaltstrike C2 IP
120.48.50.33,Possible Cobaltstrike C2 IP
120.55.65.66,Possible Cobaltstrike C2 IP
120.55.75.154,Possible Cobaltstrike C2 IP
