file_name,metadata_description,metadata_link
lockbit2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
lockbit3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
Look at this instruction.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
nemty_v1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
nemty_v16.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
nemty_v25.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
netwalker.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
prometheus.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
quantumlocker.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
R3ADM3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
ragnarlocker1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
ragnarok.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
ransomexx1.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
ransomexx2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
RansomNote.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
README.BlackSuit.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
README_FOR_DECRYPT.txtt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
readme_for_unlock.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
readme_for_unlock_2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
readme_for_unlock_3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
README_TO_DECRYPT.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
RECOVER-FILES.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
RECOVERY_DARKBIT.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
RECOVERY_INSTRUCTIONS.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
Restore Your Files.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
