"appname","appid","metadata_category","metadata_severity","metadata_comment","metadata_link","metadata_reference"
"Azure Monitor Restricted","035f9e1d-4f00-4419-bf50-bf2d87eb4878","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"MSAI Substrate Meeting Intelligence ","038187f5-ca69-4382-8c0b-8d87708d099f","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"MDATPNetworkScanAgent","04687a56-4fc2-4e36-b274-b862fb649733","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Policy Administration Service","0469d4cd-df37-4d93-8a61-f8c75b809164","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft.Blockchain","049d4938-2ef2-4274-aa8f-630fc9bc33d1","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Azure CLI","04b07795-8ddb-461a-bbee-02f9e1bf7b46","compliance","medium","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"M365 App Management Service","0517ffae-825d-4aff-999e-3f2336b8a20a","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Cloud App Security","05a65629-4c1b-48c1-a78b-804c4abdd4af","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Edge Zones storage backend","05d97c70-cb7c-4e66-8138-d5ca7c59d206","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Power Platform Admin Center [Community Contributed]","065d9450-1e87-434e-ac2f-69af271549ed","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"SubstrateActionsService","06dd8193-75af-46d0-84bb-9b9bcaa89e8b","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Machine Learning","0736f41a-0425-4b46-bdb5-1563eff02385","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Defender for Storage Advanced Threat Protection Resource Provider","080765e3-9336-4461-b934-310acccb907d","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Defender for Cloud Apps MIP Server","0858ddce-8fca-4479-929b-4504feeed95e","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"SharePoint Online Web Client Extensibility","08e18876-6177-487e-b8b5-cf950c1e598c","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"ProjectWorkManagement","09abbdfd-ed23-44ee-a2d9-a627aa1c90f3","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Cortana Experience with O365","0a0a29f9-0a25-49c7-94bf-c53c3f8fa69d","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Mobile Application Management","0a5f63c0-b750-4f38-a71c-4fc0d58b89e2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Graph Change Tracking","0bf30f3b-4a52-48df-9a82-234910c4a086","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Android App (from AADInternals)","0c1307d4-29d6-4389-a11c-5cbe7f65d7fa","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
