url,dest_host,metadata_dest_ip,metadata_dest_port,metadata_uri_path,metadata_type,metadata_comment,metadata_link
https://dns.bitdefender.net/dns-query*,dns.bitdefender.net,35.199.57.35,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh-ch.blahdns.com/dns-query*,doh-ch.blahdns.com,45.91.92.121,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh-jp.blahdns.com/dns-query*,doh-jp.blahdns.com,212.52.0.233,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh-sg.blahdns.com/dns-query*,doh-sg.blahdns.com,103.167.150.45,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://us1.blissdns.net/dns-query*,us1.blissdns.net,173.255.201.254,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.blokada.org/dns-query*,dns.blokada.org,193.180.80.2,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://bluemood.me/dns-query*,bluemood.me,34.80.137.209,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.boje8.me/dns-query*,doh.boje8.me,223.17.118.34,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.bortzmeyer.fr*,doh.bortzmeyer.fr,193.70.85.11,443,,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://cloudns.bosco.ovh/dns-query*,cloudns.bosco.ovh,137.74.29.10,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.brahma.world/dns-query*,dns.brahma.world,157.90.124.62,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.bt.com*,doh.bt.com,81.130.111.251,443,,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh1.b-cdn.net/dns-query*,doh1.b-cdn.net,195.181.163.202,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://www.c-dns.com/dns-query*,www.c-dns.com,211.95.16.131,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.aaaab3n.moe/dns-query-114514*,doh.aaaab3n.moe,104.21.10.53,443,/dns-query-114514,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.carson-family.com/dns-query*,dns.carson-family.com,34.75.163.154,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://doh.ccb-net.it*,doh.ccb-net.it,104.21.57.234,443,,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
