permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
OnlineMeetings.Read,-,9be106e1-f4e3-4df5-bdff-e4bc531cbe43,-,Read user's online meetings,-,Allows the app to read online meeting details on behalf of the signed-in user.,-,No,no
OnlineMeetings.Read.All,c1684f21-1984-47fa-9d61-2dc8c296bb70,-,Read online meeting details,-,"Allows the app to read online meeting details in your organization, without a signed-in user.",-,Yes,-,no
OnlineMeetings.ReadWrite,-,a65f2972-a4f8-4f5e-afd7-69ccb046d5dc,-,Read and create user's online meetings,-,Allows the app to read and create online meetings on behalf of the signed-in user.,-,No,no
OnlineMeetings.ReadWrite.All,b8bb2037-6e08-44ac-a4ea-4674e010e2a4,-,Read and create online meetings,-,Allows the app to read and create online meetings as an application in your organization.,-,Yes,-,no
OnlineMeetingTranscript.Read.All,a4a80d8d-d283-4bd8-8504-555ec3870630,30b87d18-ebb1-45db-97f8-82ccb1f0190c,Read all transcripts of online meetings.,Read all transcripts of online meetings.,"Allows the app to read all transcripts of all online meetings, without a signed-in user.","Allows the app to read all transcripts of online meetings, on behalf of the signed-in user.",Yes,Yes,no
OnPremDirectorySynchronization.Read.All,bb70e231-92dc-4729-aff5-697b3f04be95,f6609722-4100-44eb-b747-e6ca0536989d,Read all on-premises directory synchronization information,Read all on-premises directory synchronization information,"Allows the app to read all on-premises directory synchronization information for the organization, without a signed-in user.","Allows the app to read all on-premises directory synchronization information for the organization, on behalf of the signed-in user.",Yes,Yes,no
OnPremDirectorySynchronization.ReadWrite.All,c22a92cc-79bf-4bb1-8b6c-e0a05d3d80ce,c2d95988-7604-4ba1-aaed-38a5f82a51c7,Read and write all on-premises directory synchronization information,Read and write all on-premises directory synchronization information,"Allows the app to read and write all on-premises directory synchronization information for the organization, without a signed-in user.","Allows the app to read and write all on-premises directory synchronization information for the organization, on behalf of the signed-in user.",Yes,Yes,no
OnPremisesPublishingProfiles.ReadWrite.All,0b57845e-aa49-4e6f-8109-ce654fffa618,8c4d5184-71c2-4bf8-bb9d-bc3378c9ad42,Manage on-premises published resources,Manage on-premises published resources,"Allows the app to create, view, update and delete on-premises published resources, on-premises agents and agent groups, as part of a hybrid identity configuration, without a signed in user.","Allows the app to manage hybrid identity service configuration by creating, viewing, updating and deleting on-premises published resources, on-premises agents and agent groups, on behalf of the signed-in user.",Yes,Yes,no
openid,-,37f7f235-527c-4136-accd-4a02d197296e,-,Sign users in,-,Allows users to sign in to the app with their work or school accounts and allows the app to see basic user profile information.,-,No,no
Organization.Read.All,498476ce-e0fe-48b0-b801-37ba7e2685c6,4908d5b9-3fb2-4b1e-9336-1888b7937185,Read organization information,Read organization information,"Allows the app to read the organization and related resources, without a signed-in user. Related resources include things like subscribed skus and tenant branding information.","Allows the app to read the organization and related resources, on behalf of the signed-in user. Related resources include things like subscribed skus and tenant branding information.",Yes,Yes,no
Organization.ReadWrite.All,292d869f-3427-49a8-9dab-8c70152b74e9,46ca0847-7e6b-426e-9775-ea810a948356,Read and write organization information,Read and write organization information,"Allows the app to read and write the organization and related resources, without a signed-in user. Related resources include things like subscribed skus and tenant branding information.","Allows the app to read and write the organization and related resources, on behalf of the signed-in user. Related resources include things like subscribed skus and tenant branding information.",Yes,Yes,no
OrganizationalBranding.Read.All,eb76ac34-0d62-4454-b97c-185e4250dc20,9082f138-6f02-4f3a-9f4d-5f3c2ce5c688,Read organizational branding information,Read organizational branding information,"Allows the app to read the organizational branding information, without a signed-in user.","Allows the app to read the organizational branding information, on behalf of the signed-in user.",Yes,Yes,no
OrganizationalBranding.ReadWrite.All,d2ebfbc1-a5f8-424b-83a6-56ab5927a73c,15ce63de-b141-4c9a-a9a5-241bf27c6aaf,Read and write organizational branding information,Read and write organizational branding information,"Allows the app to read and write the organizational branding information, without a signed-in user.","Allows the app to read and write the organizational branding information, on behalf of the signed-in user.",Yes,Yes,no
OrgContact.Read.All,e1a88a34-94c4-4418-be12-c87b00e26bea,08432d1b-5911-483c-86df-7980af5cdee0,Read organizational contacts,Read organizational contacts,Allows the app to read all organizational contacts without a signed-in user.  These contacts are managed by the organization and are different from a user's personal contacts.,Allows the app to read all organizational contacts on behalf of the signed-in user.  These contacts are managed by the organization and are different from a user's personal contacts.,Yes,Yes,no
OrgSettings-AppsAndServices.Read.All,56c84fa9-ea1f-4a15-90f2-90ef41ece2c9,1e9b7a7e-4d64-44ff-acf5-2e9651c1519f,Read organization-wide apps and services settings,Read organization-wide apps and services settings,"Allows the app to read organization-wide apps and services settings, without a signed-in user.",Allows the app to read organization-wide apps and services settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-AppsAndServices.ReadWrite.All,4a8e4191-c1c8-45f8-b801-f9a1a5ee6ad3,c167b0e7-47c0-48e8-9eee-9892f58018fa,Read and write organization-wide apps and services settings,Read and write organization-wide apps and services settings,"Allows the app to read and write organization-wide apps and services settings, without a signed-in user.",Allows the app to read and write organization-wide apps and services settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-DynamicsVoice.Read.All,c18ae2dc-d9f3-4495-a93f-18980a0e159f,9862d930-5aec-4a98-8d4f-7277a8db9bcb,Read organization-wide Dynamics customer voice settings,Read organization-wide Dynamics customer voice settings,"Allows the app to read organization-wide Dynamics customer voice settings, without a signed-in user.",Allows the app to read organization-wide Dynamics customer voice settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-DynamicsVoice.ReadWrite.All,c3f1cc32-8bbd-4ab6-bd33-f270e0d9e041,4cea26fb-6967-4234-82c4-c044414743f8,Read and write organization-wide Dynamics customer voice settings,Read and write organization-wide Dynamics customer voice settings,"Allows the app to read and write organization-wide Dynamics customer voice settings, without a signed-in user.",Allows the app to read and write organization-wide Dynamics customer voice settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-Forms.Read.All,434d7c66-07c6-4b1f-ab21-417cf2cdaaca,210051a0-1ffc-435c-ae76-02d226d05752,Read organization-wide Microsoft Forms settings,Read organization-wide Microsoft Forms settings,"Allows the app to read organization-wide Microsoft Forms settings, without a signed-in user.",Allows the app to read organization-wide Microsoft Forms settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-Forms.ReadWrite.All,2cb92fee-97a3-4034-8702-24a6f5d0d1e9,346c19ff-3fb2-4e81-87a0-bac9e33990c1,Read and write organization-wide Microsoft Forms settings,Read and write organization-wide Microsoft Forms settings,"Allows the app to read and write organization-wide Microsoft Forms settings, without a signed-in user.",Allows the app to read and write organization-wide Microsoft Forms settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-Microsoft365Install.Read.All,6cdf1fb1-b46f-424f-9493-07247caa22e2,8cbdb9f6-9c2e-451a-814d-ec606e5d0212,Read organization-wide Microsoft 365 apps installation settings,Read organization-wide Microsoft 365 apps installation settings,"Allows the app to read organization-wide Microsoft 365 apps installation settings, without a signed-in user.",Allows the app to read organization-wide Microsoft 365 apps installation settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-Microsoft365Install.ReadWrite.All,83f7232f-763c-47b2-a097-e35d2cbe1da5,1ff35e91-19eb-42d8-aa2d-cc9891127ae5,Read and write organization-wide Microsoft 365 apps installation settings,Read and write organization-wide Microsoft 365 apps installation settings,"Allows the app to read and write organization-wide Microsoft 365 apps installation settings, without a signed-in user.",Allows the app to read and write organization-wide Microsoft 365 apps installation settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-Todo.Read.All,e4d9cd09-d858-4363-9410-abb96737f0cf,7ff96f41-f022-45ba-acd8-ef3f03063d6b,Read organization-wide Microsoft To Do settings,Read organization-wide Microsoft To Do settings,"Allows the app to read organization-wide Microsoft To Do settings, without a signed-in user.",Allows the app to read organization-wide Microsoft To Do settings on behalf of the signed-in user.,Yes,Yes,no
OrgSettings-Todo.ReadWrite.All,5febc9da-e0d0-4576-bd13-ae70b2179a39,087502c2-5263-433e-abe3-8f77231a0627,Read and write organization-wide Microsoft To Do settings,Read and write organization-wide Microsoft To Do settings,"Allows the app to read and write organization-wide Microsoft To Do settings, without a signed-in user.",Allows the app to read and write organization-wide Microsoft To Do settings on behalf of the signed-in user.,Yes,Yes,no
PartnerBilling.Read.All,7c3e1994-38ff-4412-a99b-9369f6bb7706,8804798e-5934-4e30-8ce3-ef88257cecd4,Read all billing data for your company's tenant,Read all billing data for your company's tenant,"Allows the app to read all of billing data from Microsoft for your company's tenant, without a signed-in user. This includes reading billed and unbilled azure usage and invoice reconciliation data.","Allows the app to read all of billing data from Microsoft for your company's tenant, on behalf of the signed-in user. This includes reading billed and unbilled Usage and Invoice reconciliation data.",Yes,Yes,no
PartnerSecurity.Read.All,21ffa320-2e7f-47d3-a466-7ff04d2dd68d,5567b981-0bf1-4796-9038-0648b46e116d,Read security alerts of customer with CSP relationship,Read security alerts of customer with CSP relationship,"Allows the app to read security alerts of customer with CSP relationship, without a signed-in user.",Allows the app to read security alerts of customer with CSP relationship on behalf of the partner signed-in user.,Yes,Yes,no
PartnerSecurity.ReadWrite.All,04a2c935-5b4b-474a-be42-11f53111f271,0cd2c1f6-94a1-4075-ab8c-0b1aff2e1ad5,Read security alerts and update status of security alerts of customer with CSP relationship,Read security alerts and update status of security alerts of customer with CSP relationship,"Allows the app to read security alerts and update status of alerts of customer with CSP relationship, without a signed-in user.",Allows the app to read security alerts and update status of alerts of customer with CSP relationship on behalf of the partner signed-in user.,Yes,Yes,no
PendingExternalUserProfile.Read.All,bdfb26d9-bb36-49be-9b4c-b8cbf4b05808,d88fd3fb-53d3-4c1c-8c39-787fcac2ed7a,Read all pending external user profiles,Read pending external user profiles,"Allows the app to read available properties of pending external user profiles, without a signed-in user.","Allows the app to read available properties of pending external user profiles, on behalf of the signed-in user.",Yes,Yes,no
PendingExternalUserProfile.ReadWrite.All,8363c2b8-6ff7-420b-9966-c5884c2d48bc,93a1fb28-c908-4826-904e-0c74ad352b73,Read and write all pending external user profiles,Read and write pending external user profiles,"Allows the app to read and write available properties of pending external user profiles, without a signed-in user.","Allows the app to read and write available properties of pending external user profiles, on behalf of the signed-in user.",Yes,Yes,no
People.Read,-,ba47897c-39ec-4d83-8086-ee8256fa737d,-,Read users' relevant people lists,-,"Allows the app to read a ranked list of relevant people of the signed-in user. The list includes local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).",-,No,no
People.Read.All,b528084d-ad10-4598-8b93-929746b4d7d6,b89f9189-71a5-4e70-b041-9887f0bc7e4a,Read all users' relevant people lists,Read all users' relevant people lists,"Allows the app to read any user's scored list of relevant people, without a signed-in user. The list can include local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).","Allows the app to read a scored list of relevant people of the signed-in user or other users in the signed-in user's organization. The list can include local contacts, contacts from social networking, your organization's directory, and people from recent communications (such as email and Skype).",Yes,Yes,no
PeopleSettings.Read.All,ef02f2e7-e22d-4c77-8614-8f765683b86e,ec762c5f-388b-4b16-8693-ac1efbc611bc,Read all tenant-wide people settings,Read tenant-wide people settings,Allows the application to read tenant-wide people settings without a signed-in user.,Allows the application to read tenant-wide people settings on behalf of the signed-in user.,Yes,Yes,no
PeopleSettings.ReadWrite.All,b6890674-9dd5-4e42-bb15-5af07f541ae1,e67e6727-c080-415e-b521-e3f35d5248e9,Read and write all tenant-wide people settings,Read and write tenant-wide people settings,Allows the application to read and write tenant-wide people settings without a signed-in user.,Allows the application to read and write tenant-wide people settings on behalf of the signed-in user.,Yes,Yes,no
Place.Read.All,913b9306-0ce1-42b8-9137-6a7df690a760,cb8f45a0-5c2e-4ea1-b803-84b870a7d7ec,Read all company places,Read all company places,"Allows the app to read company places (conference rooms and room lists) for calendar events and other applications, without a signed-in user.","Allows the app to read your company's places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.",Yes,Yes,no
Place.ReadWrite.All,-,4c06a06a-098a-4063-868e-5dfee3827264,-,Read and write organization places,-,"Allows the app to manage organization places (conference rooms and room lists) for calendar events and other applications, on behalf of the signed-in user.",-,Yes,no
PlaceDevice.Read.All,8b724a84-ceac-4fd9-897e-e31ba8f2d7a3,4c7f93d2-6b0b-4e05-91aa-87842f0a2142,Read all workplace devices,Read all workplace devices,"Allows the app to read all workplace devices, without a signed-in user.","Allows the app to read all workplace devices, on behalf of the signed-in user.",Yes,Yes,no
PlaceDevice.ReadWrite.All,2d510721-5c4e-43cd-bfdb-ac0f8819fb92,eafd6a71-e95a-4f8a-bb6e-fb84ab7fbd9e,Read and write all workplace devices,Read and write all workplace devices,"Allows the app to read and write all workplace devices, without a signed-in user.","Allows the app to read and write all workplace devices, on behalf of the signed-in user.",Yes,Yes,no
PlaceDeviceTelemetry.ReadWrite.All,27fc435f-44e2-4b30-bf3c-e0ce74aed618,-,Read and write telemetry for all workplace devices.,-,"Allows the app to read and write telemetry for all workplace devices, without a signed-in user.",-,Yes,-,no
Policy.Read.All,246dd0d5-5bd0-4def-940b-0421030a5b68,572fea84-0151-49b2-9301-11cb16974376,Read your organization's policies,Read your organization's policies,Allows the app to read all your organization's policies without a signed in user.,Allows the app to read your organization's policies on behalf of the signed-in user.,Yes,Yes,no
Policy.Read.ConditionalAccess,37730810-e9ba-4e46-b07e-8ca78d182097,633e0fce-8c58-4cfb-9495-12bbd5a24f7c,Read your organization's conditional access policies,Read your organization's conditional access policies,"Allows the app to read your organization's conditional access policies, without a signed-in user.",Allows the app to read your organization's conditional access policies on behalf of the signed-in user.,Yes,No,no
Policy.Read.IdentityProtection,b21b72f6-4e6a-4533-9112-47eea9f97b28,d146432f-b803-4ed4-8d42-ba74193a6ede,Read your organization's identity protection policy,Read your organization's identity protection policy,Allows the app to read your organization's identity protection policy without a signed-in user.,Allows the app to read your organization's identity protection policy on behalf of the signed-in user.,Yes,Yes,no
Policy.Read.PermissionGrant,9e640839-a198-48fb-8b9a-013fd6f6cbcd,414de6ea-2d92-462f-b120-6e2a809a6d01,Read consent and permission grant policies,Read consent and permission grant policies,"Allows the app to read policies related to consent and permission grants for applications, without a signed-in user.","Allows the app to read policies related to consent and permission grants for applications, on behalf of the signed-in user.",Yes,Yes,no
Policy.ReadWrite.AccessReview,77c863fd-06c0-47ce-a7eb-49773e89d319,4f5bc9c8-ea54-4772-973a-9ca119cb0409,Read and write your organization's directory access review default policy,Read and write your organization's directory access review default policy,Allows the app to read and write your organization's directory access review default policy without a signed-in user.,Allows the app to read and write your organization's directory access review default policy on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.ApplicationConfiguration,be74164b-cff1-491c-8741-e671cb536e13,b27add92-efb2-4f16-84f5-8108ba77985c,Read and write your organization's application configuration policies,Read and write your organization's application configuration policies,"Allows the app to read and write your organization's application configuration policies, without a signed-in user.  This includes policies such as activityBasedTimeoutPolicy, claimsMappingPolicy, homeRealmDiscoveryPolicy, tokenIssuancePolicy  and tokenLifetimePolicy.","Allows the app to read and write your organization's application configuration policies on behalf of the signed-in user.  This includes policies such as activityBasedTimeoutPolicy, claimsMappingPolicy, homeRealmDiscoveryPolicy,  tokenIssuancePolicy and tokenLifetimePolicy.",Yes,Yes,no
Policy.ReadWrite.AuthenticationFlows,25f85f3c-f66c-4205-8cd5-de92dd7f0cec,edb72de9-4252-4d03-a925-451deef99db7,Read and write authentication flow policies,Read and write authentication flow policies,"Allows the app to read and write all authentication flow policies for the tenant, without a signed-in user.","Allows the app to read and write the authentication flow policies, on behalf of the signed-in user.",Yes,Yes,no
Policy.ReadWrite.AuthenticationMethod,29c18626-4985-4dcd-85c0-193eef327366,7e823077-d88e-468f-a337-e18f1f0e6c7c,Read and write all authentication method policies,Read and write authentication method policies,"Allows the app to read and write all authentication method policies for the tenant, without a signed-in user.","Allows the app to read and write the authentication method policies, on behalf of the signed-in user.",Yes,Yes,no
Policy.ReadWrite.Authorization,fb221be6-99f2-473f-bd32-01c6a0e9ca3b,edd3c878-b384-41fd-95ad-e7407dd775be,Read and write your organization's authorization policy,Read and write your organization's authorization policy,"Allows the app to read and write your organization's authorization policy without a signed in user. For example, authorization policies can control some of the permissions that the out-of-the-box user role has by default.","Allows the app to read and write your organization's authorization policy on behalf of the signed-in user.  For example, authorization policies can control some of the permissions that the out-of-the-box user role has by default.",Yes,Yes,no
Policy.ReadWrite.ConditionalAccess,01c0a623-fc9b-48e9-b794-0756f8e8f067,ad902697-1014-4ef5-81ef-2b4301988e8c,Read and write your organization's conditional access policies,Read and write your organization's conditional access policies,"Allows the app to read and write your organization's conditional access policies, without a signed-in user.",Allows the app to read and write your organization's conditional access policies on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.ConsentRequest,999f8c63-0a38-4f1b-91fd-ed1947bdd1a9,4d135e65-66b8-41a8-9f8b-081452c91774,Read and write your organization's consent request policy,Read and write consent request policy,Allows the app to read and write your organization's consent requests policy without a signed-in user.,Allows the app to read and write your organization's consent requests policy on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.CrossTenantAccess,338163d7-f101-4c92-94ba-ca46fe52447c,014b43d0-6ed4-4fc6-84dc-4b6f7bae7d85,Read and write your organization's cross tenant access policies,Read and write your organization's cross tenant access policies,Allows the app to read and write your organization's cross tenant access policies without a signed-in user.,Allows the app to read and write your organization's cross tenant access policies on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.DeviceConfiguration,-,40b534c3-9552-4550-901b-23879c90bcf9,-,Read and write your organization's device configuration policies,-,"Allows the app to read and write your organization's device configuration policies on behalf of the signed-in user.  For example, device registration policy can limit initial provisioning controls using quota restrictions, additional authentication and authorization checks.",-,Yes,no
Policy.ReadWrite.ExternalIdentities,03cc4f92-788e-4ede-b93f-199424d144a5,b5219784-1215-45b5-b3f1-88fe1081f9c0,Read and write your organization's external identities policy,Read and write your organization's external identities policy,"Allows the application to read and update the organization's external identities policy without a signed-in user.  For example, external identities policy controls if users invited to access resources in your organization via B2B collaboration or B2B direct connect are allowed to self-service leave.","Allows the application to read and update the organization's external identities policy on behalf of the signed-in user.  For example, external identities policy controls if users invited to access resources in your organization via B2B collaboration or B2B direct connect are allowed to self-service leave.",Yes,Yes,no
Policy.ReadWrite.FeatureRollout,2044e4f1-e56c-435b-925c-44cd8f6ba89a,92a38652-f13b-4875-bc77-6e1dbb63e1b2,Read and write feature rollout policies,Read and write your organization's feature rollout policies,Allows the app to read and write feature rollout policies without a signed-in user. Includes abilities to assign and remove users and groups to rollout of a specific feature.,Allows the app to read and write your organization's feature rollout policies on behalf of the signed-in user. Includes abilities to assign and remove users and groups to rollout of a specific feature.,Yes,Yes,no
Policy.ReadWrite.FedTokenValidation,90bbca0b-227c-4cdc-8083-1c6cfb95bac6,be1be369-4540-4ac9-8928-79de99f70d8f,Read and write your organization's federated token validation policy,Read and write your organization's federated token validation policy,Allows the application to read and update the organization's federated token validation policy without a signed-in user.,Allows the application to read and update the organization's federated token validation policy on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.IdentityProtection,2dcf8603-09eb-4078-b1ec-d30a1a76b873,7256e131-3efb-4323-9854-cf41c6021770,Read and write your organization's identity protection policy,Read and write your organization's identity protection policy,Allows the app to read and write your organization's identity protection policy without a signed-in user.,Allows the app to read and write your organization's identity protection policy on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.MobilityManagement,-,a8ead177-1889-4546-9387-f25e658e2a79,-,Read and write your organization's mobility management policies,-,"Allows the app to read and write your organization's mobility management policies on behalf of the signed-in user.  For example, a mobility management policy can set the enrollment scope for a given mobility management application.",-,Yes,no
Policy.ReadWrite.PermissionGrant,a402ca1c-2696-4531-972d-6e5ee4aa11ea,2672f8bb-fd5e-42e0-85e1-ec764dd2614e,Manage consent and permission grant policies,Manage consent and permission grant policies,"Allows the app to manage policies related to consent and permission grants for applications, without a signed-in user.","Allows the app to manage policies related to consent and permission grants for applications, on behalf of the signed-in user.",Yes,Yes,no
Policy.ReadWrite.SecurityDefaults,1c6e93a6-28e2-4cbb-9f64-1a46a821124d,0b2a744c-2abf-4f1e-ad7e-17a087e2be99,Read and write your organization's security defaults policy,Read and write your organization's security defaults policy,"Allows the app to read and write your organization's security defaults policy, without a signed-in user.",Allows the app to read and write your organization's security defaults policy on behalf of the signed-in user.,Yes,Yes,no
Policy.ReadWrite.TrustFramework,79a677f7-b79d-40d0-a36a-3e6f8688dd7a,cefba324-1a70-4a6e-9c1d-fd670b7ae392,Read and write your organization's trust framework policies,Read and write your organization's trust framework policies,Allows the app to read and write your organization's trust framework policies without a signed in user.,Allows the app to read and write your organization's trust framework policies on behalf of the signed-in user.,Yes,Yes,no
POP.AccessAsUser.All,-,d7b7f2d9-0f45-4ea1-9d42-e50810c06991,-,Read and write access to mailboxes via POP.,-,Allows the app to have the same access to mailboxes as the signed-in user via POP protocol.,-,No,no
Presence.Read,-,76bc735e-aecd-4a1d-8b4c-2b915deabb79,-,Read user's presence information,-,"Allows the app to read presence information on behalf of the signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.",-,No,no
Presence.Read.All,a70e0c2d-e793-494c-94c4-118fa0a67f42,9c7a330d-35b3-4aa1-963d-cb2b9f927841,Read presence information for all users,Read presence information of all users in your organization,"Allows the app to read presence information of all users in the directory without a signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.","Allows the app to read presence information of all users in the directory on behalf of the signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.",Yes,No,no
Presence.ReadWrite,-,8d3c54a7-cf58-4773-bf81-c0cd6ad522bb,-,Read and write a user's presence information,-,"Allows the app to read the presence information and write activity and availability on behalf of the signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, timezone and location.",-,No,no
Presence.ReadWrite.All,83cded22-8297-4ff6-a7fa-e97e9545a259,-,Read and write presence information for all users,-,"Allows the app to read all presence information and write activity and availability of all users in the directory without a signed-in user. Presence information includes activity, availability, status note, calendar out-of-office message, time zone and location.",-,Yes,-,no
PrintConnector.Read.All,-,d69c2d6d-4f72-4f99-a6b9-663e32f8cf68,-,Read print connectors,-,Allows the application to read print connectors on behalf of the signed-in user.,-,Yes,no
PrintConnector.ReadWrite.All,-,79ef9967-7d59-4213-9c64-4b10687637d8,-,Read and write print connectors,-,Allows the application to read and write print connectors on behalf of the signed-in user.,-,Yes,no
Printer.Create,-,90c30bed-6fd1-4279-bf39-714069619721,-,Register printers,-,Allows the application to create (register) printers on behalf of the signed-in user.,-,Yes,no
Printer.FullControl.All,-,93dae4bd-43a1-4a23-9a1a-92957e1d9121,-,"Register, read, update, and unregister printers",-,"Allows the application to create (register), read, update, and delete (unregister) printers on behalf of the signed-in user.",-,Yes,no
Printer.Read.All,9709bb33-4549-49d4-8ed9-a8f65e45bb0f,3a736c8a-018e-460a-b60c-863b2683e8bf,Read printers,Read printers,Allows the application to read printers without a signed-in user.,Allows the application to read printers on behalf of the signed-in user.,Yes,Yes,no
Printer.ReadWrite.All,f5b3f73d-6247-44df-a74c-866173fddab0,89f66824-725f-4b8f-928e-e1c5258dc565,Read and update printers,Read and update printers,Allows the application to read and update printers without a signed-in user. Does not allow creating (registering) or deleting (unregistering) printers.,Allows the application to read and update printers on behalf of the signed-in user. Does not allow creating (registering) or deleting (unregistering) printers.,Yes,Yes,no
PrinterShare.Read.All,-,ed11134d-2f3f-440d-a2e1-411efada2502,-,Read printer shares,-,Allows the application to read printer shares on behalf of the signed-in user.,-,No,no
PrinterShare.ReadBasic.All,-,5fa075e9-b951-4165-947b-c63396ff0a37,-,Read basic information about printer shares,-,Allows the application to read basic information about printer shares on behalf of the signed-in user. Does not allow reading access control information.,-,No,no
PrinterShare.ReadWrite.All,-,06ceea37-85e2-40d7-bec3-91337a46038f,-,Read and write printer shares,-,Allows the application to read and update printer shares on behalf of the signed-in user.,-,Yes,no
PrintJob.Create,-,21f0d9c0-9f13-48b3-94e0-b6b231c7d320,-,Create print jobs,-,Allows the application to create print jobs on behalf of the signed-in user and upload document content to print jobs that the signed-in user created.,-,No,no
PrintJob.Manage.All,58a52f47-9e36-4b17-9ebe-ce4ef7f3e6c8,-,Perform advanced operations on print jobs,-,Allows the application to perform advanced operations like redirecting a print job to another printer without a signed-in user. Also allows the application to read and update the metadata of print jobs.,-,Yes,-,no
PrintJob.Read,-,248f5528-65c0-4c88-8326-876c7236df5e,-,Read user's print jobs,-,Allows the application to read the metadata and document content of print jobs that the signed-in user created.,-,No,no
PrintJob.Read.All,ac6f956c-edea-44e4-bd06-64b1b4b9aec9,afdd6933-a0d8-40f7-bd1a-b5d778e8624b,Read print jobs,Read print jobs,Allows the application to read the metadata and document content of print jobs without a signed-in user.,Allows the application to read the metadata and document content of print jobs on behalf of the signed-in user.,Yes,Yes,no
PrintJob.ReadBasic,-,6a71a747-280f-4670-9ca0-a9cbf882b274,-,Read basic information of user's print jobs,-,Allows the application to read the metadata of print jobs that the signed-in user created. Does not allow access to print job document content.,-,No,no
PrintJob.ReadBasic.All,fbf67eee-e074-4ef7-b965-ab5ce1c1f689,04ce8d60-72ce-4867-85cf-6d82f36922f3,Read basic information for print jobs,Read basic information of print jobs,Allows the application to read the metadata of print jobs without a signed-in user. Does not allow access to print job document content.,Allows the application to read the metadata of print jobs on behalf of the signed-in user. Does not allow access to print job document content.,Yes,Yes,no
PrintJob.ReadWrite,-,b81dd597-8abb-4b3f-a07a-820b0316ed04,-,Read and write user's print jobs,-,Allows the application to read and update the metadata and document content of print jobs that the signed-in user created.,-,No,no
PrintJob.ReadWrite.All,5114b07b-2898-4de7-a541-53b0004e2e13,036b9544-e8c5-46ef-900a-0646cc42b271,Read and write print jobs,Read and write print jobs,Allows the application to read and update the metadata and document content of print jobs without a signed-in user.,Allows the application to read and update the metadata and document content of print jobs on behalf of the signed-in user.,Yes,Yes,no
PrintJob.ReadWriteBasic,-,6f2d22f2-1cb6-412c-a17c-3336817eaa82,-,Read and write basic information of user's print jobs,-,Allows the application to read and update the metadata of print jobs that the signed-in user created. Does not allow access to print job document content.,-,No,no
PrintJob.ReadWriteBasic.All,57878358-37f4-4d3a-8c20-4816e0d457b1,3a0db2f6-0d2a-4c19-971b-49109b19ad3d,Read and write basic information for print jobs,Read and write basic information of print jobs,Allows the application to read and update the metadata of print jobs without a signed-in user. Does not allow access to print job document content.,Allows the application to read and update the metadata of print jobs on behalf of the signed-in user. Does not allow access to print job document content.,Yes,Yes,no
PrintSettings.Read.All,b5991872-94cf-4652-9765-29535087c6d8,490f32fd-d90f-4dd7-a601-ff6cdc1a3f6c,Read tenant-wide print settings,Read tenant-wide print settings,Allows the application to read tenant-wide print settings without a signed-in user.,Allows the application to read tenant-wide print settings on behalf of the signed-in user.,Yes,Yes,no
PrintSettings.ReadWrite.All,-,9ccc526a-c51c-4e5c-a1fd-74726ef50b8f,-,Read and write tenant-wide print settings,-,Allows the application to read and write tenant-wide print settings on behalf of the signed-in user.,-,Yes,no
PrintTaskDefinition.ReadWrite.All,456b71a7-0ee0-4588-9842-c123fcc8f664,-,"Read, write and update print task definitions",-,Allows the application to read and update print task definitions without a signed-in user.,-,Yes,-,no
PrivilegedAccess.Read.AzureAD,4cdc2547-9148-4295-8d11-be0db1391d6b,b3a539c9-59cb-4ad5-825a-041ddbdc2bdb,Read privileged access to Azure AD roles,Read privileged access to Azure AD,"Allows the app to read time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD built-in and custom administrative roles in your organization, without a signed-in user.","Allows the app to read time-based assignment and just-in-time elevation (including scheduled elevation) of Azure AD built-in and custom administrative roles, on behalf of the signed-in user.",Yes,Yes,no
