permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
BusinessScenarioConfig.ReadWrite.OwnedBy,bbea195a-4c47-4a4f-bff2-cba399e11698,b3b7fcff-b4d4-4230-bf6f-90bd91285395,Read and write all business scenario configurations this app creates or owns,Read and write business scenario configurations this app creates or owns,"Allows the app to create new business scenarios and fully manage the configurations of scenarios it owns, without a signed-in user.","Allows the app to create new business scenarios and fully manage the configurations of scenarios it owns, on behalf of the signed-in user.",Yes,Yes,no
BusinessScenarioData.Read.OwnedBy,6c0257fd-cffe-415b-8239-2d0d70fdaa9c,25b265c4-5d34-4e44-952d-b567f6d3b96d,Read data for all business scenarios this app creates or owns,Read all data for business scenarios this app creates or owns,"Allows the app to read the data associated with the business scenarios it owns, without a signed-in user.",Allows the app to read all data associated with the business scenarios it owns. Data access will be attributed to the signed-in user.,Yes,Yes,no
BusinessScenarioData.ReadWrite.OwnedBy,f2d21f22-5d80-499e-91cc-0a8a4ce16f54,19932d57-2952-4c60-8634-3655c79fc527,Read and write data for all business scenarios this app creates or owns,Read and write all data for business scenarios this app creates or owns,"Allows the app to fully manage the data associated with the business scenarios it owns, without a signed-in user.",Allows the app to fully manage all data associated with the business scenarios it owns. Data access and changes will be attributed to the signed-in user.,Yes,Yes,no
Calendars.Read,798ee544-9d2d-430c-a058-570e29e34338,465a38f9-76ea-45b9-9f34-9e8b0d4b0b42,Read calendars in all mailboxes,Read user calendars,Allows the app to read events of all calendars without a signed-in user.,Allows the app to read events in user calendars.,Yes,No,no
Calendars.Read.Shared,-,2b9c4092-424d-4249-948d-b43879977640,-,Read user and shared calendars,-,"Allows the app to read events in all calendars that the user can access, including delegate and shared calendars.",-,No,no
Calendars.ReadBasic,-,662d75ba-a364-42ad-adee-f5f880ea4878,-,Read basic details of user calendars,-,"Allows the app to read events in user calendars, except for properties such as body, attachments, and extensions.",-,No,no
Calendars.ReadBasic.All,8ba4a692-bc31-4128-9094-475872af8a53,-,Read basic details of calendars in all mailboxes,-,"Allows the app to read events of all calendars, except for properties such as body, attachments, and extensions, without a signed-in user.",-,Yes,-,no
Calendars.ReadWrite,ef54d2bf-783f-4e0f-bca1-3210c0444d99,1ec239c2-d7c9-4623-a91a-a9775856bb36,Read and write calendars in all mailboxes,Have full access to user calendars,"Allows the app to create, read, update, and delete events of all calendars without a signed-in user.","Allows the app to create, read, update, and delete events in user calendars.",Yes,No,yes
Calendars.ReadWrite.Shared,-,12466101-c9b8-439a-8589-dd09ee67e8e9,-,Read and write user and shared calendars,-,"Allows the app to create, read, update and delete events in all calendars in the organization user has permissions to access. This includes delegate and shared calendars.",-,No,no
CallEvents.Read,-,43431c03-960e-400f-87c6-8f910321dca3,-,Read call event data,-,Allows the app to read call event information for an organization for the signed-in user.,-,Yes,no
CallEvents.Read.All,1abb026f-7572-49f6-9ddd-ad61cbba181e,-,Read all call events,-,"Allows the app to read call event information for all users in your organization, without a signed-in user.",-,Yes,-,no
CallRecord-PstnCalls.Read.All,a2611786-80b3-417e-adaa-707d4261a5f0,-,Read PSTN and direct routing call log data,-,Allows the app to read all PSTN and direct routing call log data without a signed-in user.,-,Yes,-,no
CallRecords.Read.All,45bbb07e-7321-4fd7-a8f6-3ff27e6a81c8,-,Read all call records,-,Allows the app to read call records for all calls and online meetings without a signed-in user.,-,Yes,-,no
Calls.AccessMedia.All,a7a681dc-756e-4909-b988-f160edc6655f,-,Access media streams in a call as an app,-,"Allows the app to get direct access to media streams in a call, without a signed-in user.",-,Yes,-,no
