tld,dest_nt_domain,metadata_link
bn,*.bn,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bnpparibas,*.bnpparibas,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bo,*.bo,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
boats,*.boats,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
boehringer,*.boehringer,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bofa,*.bofa,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bom,*.bom,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bond,*.bond,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
boo,*.boo,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
book,*.book,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
booking,*.booking,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bosch,*.bosch,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bostik,*.bostik,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
boston,*.boston,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bot,*.bot,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
boutique,*.boutique,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
box,*.box,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
br,*.br,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bradesco,*.bradesco,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bridgestone,*.bridgestone,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
broadway,*.broadway,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
broker,*.broker,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
brother,*.brother,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
brussels,*.brussels,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bs,*.bs,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bt,*.bt,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
build,*.build,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
