metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1776442580.6097,elite,11360.710480634,1764865788.9401,AS49981 WorldStream B.V.,WorldStream,Naaldwijk,Europe,EU,The Netherlands,NL,,True,WorldStream B.V.,51.9968,4.2057,False,,True,South Holland,success,Europe/Amsterdam,2671,1776354519,1776442580.6097,11615,socks5,109.236.87.46:11615,True,1269.7193622589,17,17740,0.095736892493101,109.236.87.46
True,1776442580.6082,elite,15302.005555895,1755992455.6595,AS131353 NhanHoa Software company,NHANHOA-AS-VN,Đống Đa,Asia,AS,Vietnam,VN,,True,NhanHoa Software company,21.0144,105.814,False,NHANHOA,False,Hanoi,success,Asia/Bangkok,,1776375206,1776442580.6082,9090,socks5,103.124.95.173:9090,True,11242.011785507,9,100,8.256880733945,103.124.95.173
True,1776441110.2725,elite,2378.3866709732,1776269095.5341,AS8641 BACKBONE AS of Nauka-Svyaz,NAUKANET-AS,Moscow,Europe,EU,Russia,RU,,False,"LLC ""Nauka-Svyaz""",55.7814,37.5835,False,LLC Nauka Svyaz,False,Moscow,success,Europe/Moscow,144700,1776258969,1776442580.3307,1080,http,84.47.150.126:1080,False,3776.8859863281,2971,124,95.993537964459,84.47.150.126
True,1776359412.2615,elite,1462.6967776423,1765661101.6742,AS49981 WorldStream B.V.,WorldStream,Naaldwijk,Europe,EU,The Netherlands,NL,,True,WorldStream B.V.,51.9968,4.2057,False,Worldstream,True,South Holland,success,Europe/Amsterdam,2671,1775943550,1776442580.3253,80,http,109.236.88.82:80,False,1821.2361335754,94547,119053,44.263576779026,109.236.88.82
True,1776442494.0298,transparent,2940.9969777049,1753919533.3574,AS55701 PT. Usaha Adisanggoro,ASNET-AS-ID,Bogor,Asia,AS,Indonesia,ID,,False,PT Usaha Adi Sanggoro,-6.59444,106.789,False,,True,West Java,success,Asia/Jakarta,,1776271179,1776442579.8062,1111,http,103.18.77.14:1111,False,7701.3559341431,3300,11252,22.677295217152,103.18.77.14
True,1776442557.7314,elite,5054.9993942831,1711265139.1573,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Wuxi,Asia,AS,China,CN,,False,Chinanet,31.5618,120.2864,False,"wuxi yixing jiangnan cable Co., Ltd",True,Jiangsu,success,Asia/Shanghai,,1776396754,1776442579.6413,1080,socks4,218.90.167.205:1080,True,8719.0947532654,9630,615554,1.5403465219839,218.90.167.205
True,1776442199.0144,elite,1810.7551728545,1776081193.9257,AS46562 Performive LLC,PERFORMIVE,Santa Monica,North America,,United States,US,Wilshire Montana,True,Total Server Solutions L.L.C.,34.0259,-118.49,False,"Nami Media, Inc",True,California,success,America/Los_Angeles,90403,1776078145,1776442579.6109,4145,socks4,68.71.252.38:4145,True,814.7246837616,5446,1037,84.004318988123,68.71.252.38
True,1776418921.3494,anonymous,1314.8642461936,1765039609.6844,"AS7018 AT&T Enterprises, LLC",ATT-INTERNET4,Jacksonville,North America,,United States,US,,False,"AT&T Enterprises, LLC",30.2437,-81.6149,False,Loxahatchee - Tequesta,True,Florida,success,America/New_York,32217,1776160738,1776442579.5584,80,http,12.50.107.217:80,False,443.1848526001,176798,63190,73.669516809174,12.50.107.217
True,1776442456.2183,transparent,3833.6203502608,1776086472.4715,AS63859 PT. Eka Mas Republik,MYREPUBLIC-AS-ID,Purwokerto,Asia,AS,Indonesia,ID,,False,PT. Eka Mas Republik,-7.42139,109.234,False,Myrepublic,True,Central Java,success,Asia/Jakarta,,1776083379,1776442579.4622,1111,http,103.157.61.247:1111,False,2295.7491874695,572,1824,23.873121869783,103.157.61.247
True,1776442578.8825,elite,4375.7435275547,1776086867.6767,AS29119 AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,SERVIHOSTING-AS,Huéneja,Europe,EU,Spain,ES,,True,Aire Networks Del Mediterraneo SL Unipersonal,37.1766,-2.95024,False,Ciberdolar,True,Andalusia,success,Europe/Madrid,18512,1776085605,1776442578.8825,5678,socks4,109.167.83.167:5678,True,3332.102060318,3989,1289,75.577870405457,109.167.83.167
True,1776440644.5344,elite,11078.500588735,1776201617.5204,"AS16509 Amazon.com, Inc.",AMAZON-02,Mumbai,Asia,AS,India,IN,,True,Amazon Technologies Inc.,19.076,72.8777,False,AWS EC2 (ap-south-1),True,Maharashtra,success,Asia/Kolkata,400001,1776207293,1776442578.7923,8081,socks5,3.110.197.155:8081,True,4277.9829502106,6,130,4.4117647058824,3.110.197.155
True,1776442578.518,elite,10972.446218995,1738850648.8226,AS63949 Akamai Connected Cloud,AKAMAI-LINODE-AP,Tokyo,Asia,AS,Japan,JP,,True,Akamai Technologies,35.6893,139.6899,False,Linode,False,Tokyo,success,Asia/Tokyo,151-0053,1776091597,1776442578.518,3128,socks4,172.105.226.177:3128,True,18539.238452911,242,55503,0.43411965198673,172.105.226.177
True,1776442454.6226,transparent,5799.1990711509,1770495841.9763,AS52468 UFINET PANAMA S.A.,UFINET PANAMA S.A.,Nabón,South America,SA,Ecuador,EC,,False,Ufinet Panama S.A.,-3.33875,-79.0657,False,Negocios Y Telefonia Nedetel S.A,True,Azuay,success,America/Guayaquil,,1775939261,1776442578.4874,999,http,181.78.195.137:999,False,5199.8775005341,78547,104584,42.891154419514,181.78.195.137
True,1776442578.3264,elite,13628.640061333,1754906013.8401,AS45899 VNPT Corp,VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,False,VNPT,21.0278,105.834,False,Vietnam Posts and Telecommunications Group,False,Hanoi,success,Asia/Bangkok,,1776186335,1776442578.3264,80,socks5,14.245.157.11:80,True,6881.3161849976,21,345,5.7377049180328,14.245.157.11
