role,arn,metadata_is_privileged,metadata_comment
"AmazonConnectReadOnlyAccess","arn:aws:iam::aws:policy/AmazonConnectReadOnlyAccess",,
"AmazonMachineLearningReadOnlyAccess","arn:aws:iam::aws:policy/AmazonMachineLearningReadOnlyAccess",,
"AmazonRekognitionFullAccess","arn:aws:iam::aws:policy/AmazonRekognitionFullAccess",,
"RDSCloudHsmAuthorizationRole","arn:aws:iam::aws:policy/service-role/RDSCloudHsmAuthorizationRole",,
"AmazonMachineLearningFullAccess","arn:aws:iam::aws:policy/AmazonMachineLearningFullAccess",,
"AmazonMachineLearningRealTimePredictionOnlyAccess","arn:aws:iam::aws:policy/AmazonMachineLearningRealTimePredictionOnlyAccess",,
"AWSAppSyncPushToCloudWatchLogs","arn:aws:iam::aws:policy/service-role/AWSAppSyncPushToCloudWatchLogs",,
"AWSMigrationHubSMSAccess","arn:aws:iam::aws:policy/service-role/AWSMigrationHubSMSAccess",,
"AWSB9InternalServicePolicy","arn:aws:iam::aws:policy/AWSB9InternalServicePolicy",,
"AWSConfigUserAccess","arn:aws:iam::aws:policy/AWSConfigUserAccess",,
"AWSIoTConfigAccess","arn:aws:iam::aws:policy/AWSIoTConfigAccess",,
"AWSDiscoveryContinuousExportFirehosePolicy","arn:aws:iam::aws:policy/AWSDiscoveryContinuousExportFirehosePolicy",,
"AmazonCognitoIdpEmailServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonCognitoIdpEmailServiceRolePolicy",,
"AWSElementalMediaConvertFullAccess","arn:aws:iam::aws:policy/AWSElementalMediaConvertFullAccess",,
"AWSRoboMakerReadOnlyAccess","arn:aws:iam::aws:policy/AWSRoboMakerReadOnlyAccess",,
"AWSResourceGroupsReadOnlyAccess","arn:aws:iam::aws:policy/AWSResourceGroupsReadOnlyAccess",,
"AWSCodeStarFullAccess","arn:aws:iam::aws:policy/AWSCodeStarFullAccess",,
"AmazonSSMServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonSSMServiceRolePolicy",,
"AWSDataPipeline_FullAccess","arn:aws:iam::aws:policy/AWSDataPipeline_FullAccess",,
"NeptuneFullAccess","arn:aws:iam::aws:policy/NeptuneFullAccess",,
"AmazonSSMManagedInstanceCore","arn:aws:iam::aws:policy/AmazonSSMManagedInstanceCore",,
"AWSAutoScalingPlansEC2AutoScalingPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSAutoScalingPlansEC2AutoScalingPolicy",,
"AmazonDynamoDBReadOnlyAccess","arn:aws:iam::aws:policy/AmazonDynamoDBReadOnlyAccess",,
"AutoScalingConsoleFullAccess","arn:aws:iam::aws:policy/AutoScalingConsoleFullAccess",,
"AWSElementalMediaPackageFullAccess","arn:aws:iam::aws:policy/AWSElementalMediaPackageFullAccess",,
"AmazonKinesisVideoStreamsFullAccess","arn:aws:iam::aws:policy/AmazonKinesisVideoStreamsFullAccess",,
"AmazonSNSReadOnlyAccess","arn:aws:iam::aws:policy/AmazonSNSReadOnlyAccess",,
"AmazonRDSPreviewServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonRDSPreviewServiceRolePolicy",,
"AWSEC2SpotServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSEC2SpotServiceRolePolicy",,
"AmazonElasticMapReduceFullAccess","arn:aws:iam::aws:policy/AmazonElasticMapReduceFullAccess",,
"AWSCloudMapFullAccess","arn:aws:iam::aws:policy/AWSCloudMapFullAccess",,
