emoji,emoji_code
*🕟*,U+1F55F
*🕔*,U+1F554
*🕠*,U+1F560
*🕕*,U+1F555
*🕡*,U+1F561
*🕖*,U+1F556
*🕢*,U+1F562
*🕗*,U+1F557
*🕣*,U+1F563
*🕘*,U+1F558
*🕤*,U+1F564
*🕙*,U+1F559
*🕥*,U+1F565
*🕚*,U+1F55A
*🕦*,U+1F566
*🌑*,U+1F311
*🌒*,U+1F312
*🌓*,U+1F313
*🌔*,U+1F314
*🌕*,U+1F315
*🌖*,U+1F316
*🌗*,U+1F317
*🌘*,U+1F318
*🌙*,U+1F319
*🌚*,U+1F31A
*🌛*,U+1F31B
*🌜*,U+1F31C
*🌡*,U+1F321
*☀*,U+2600
*🌝*,U+1F31D
*🌞*,U+1F31E
*⭐*,U+2B50
*🌟*,U+1F31F
*🌠*,U+1F320
*☁*,U+2601
*⛅*,U+26C5
*⛈*,U+26C8
*🌤*,U+1F324
*🌥*,U+1F325
*🌦*,U+1F326
*🌧*,U+1F327
*🌨*,U+1F328
*🌩*,U+1F329
*🌪*,U+1F32A
*🌫*,U+1F32B
*🌬*,U+1F32C
*🌀*,U+1F300
*🌈*,U+1F308
*🌂*,U+1F302
*☂*,U+2602
*☔*,U+2614
*⛱*,U+26F1
*⚡*,U+26A1
*❄*,U+2744
*☃*,U+2603
*⛄*,U+26C4
*☄*,U+2604
*🔥*,U+1F525
*💧*,U+1F4A7
*🌊*,U+1F30A
*🎃*,U+1F383
*🎄*,U+1F384
*🎆*,U+1F386
*🎇*,U+1F387
*✨*,U+2728
*🎈*,U+1F388
*🎉*,U+1F389
*🎊*,U+1F38A
*🎋*,U+1F38B
*🎍*,U+1F38D
*🎎*,U+1F38E
*🎏*,U+1F38F
*🎐*,U+1F390
*🎑*,U+1F391
*🎀*,U+1F380
*🎁*,U+1F381
*🎗*,U+1F397
*🎟*,U+1F39F
*🎫*,U+1F3AB
*🎖*,U+1F396
*🏆*,U+1F3C6
*🏅*,U+1F3C5
*🥇*,U+1F947
*🥈*,U+1F948
*🥉*,U+1F949
*⚽*,U+26BD
*⚾*,U+26BE
*🏀*,U+1F3C0
*🏐*,U+1F3D0
*🏈*,U+1F3C8
*🏉*,U+1F3C9
*🎾*,U+1F3BE
*🎱*,U+1F3B1
