file_extension,metadata_description,metadata_category
*.osz2,,
*.otb,,
*.otf,,
*.otp,,
*.ots,,
*.ott,,
*.out,,executable
*.ov2,,
*.p,,
*.p12,,
*.p3d,,
*.p7b,,
*.p7c,,
*.pa,,
*.pac,,
*.paf,,
*.paf,,executable
*.pages,,
*.pak,,
*.pal,,
*.pap,,
*.par,,
*.par2,,
*.parquet,,
*.part,,
*.partial,,
*.pas,,
*.pbm,,
*.pbo,,
*.pc1,,
*.pc2,,
*.pc3,,
*.pce,,
*.pcf,,
*.pcl,,
*.pcontact,,
*.pct,,
*.pcx,,
*.pdax,,
*.pdb,,
*.pdd,,
*.pde,,
*.pdf,,
*.pdi,,
*.pdn,,
*.pdr,,
*.pds,,
*.pdx,,
*.pea,,
*.pem,,
*.per,,
*.pez,,
*.pfa,,
*.pfb,,
*.pfm,,
*.pfx,,
*.pgm,,
*.phd,,
*.php,,
*.php3,,
*.php4,,
*.php5,,
*.php?,,
*.phps,,
*.phtml,,
*.pi1,,
*.pi2,,
*.pi3,,
*.pict,,
*.pif,,executable
*.pipe,,
*.piv,,
*.pix,,
*.pj,,
*.pk2,,
*.pk3,,
*.pk4,,
*.pkg,,executable
*.pl,,
*.pl1,,
*.plagueinc,,
*.pld,,
*.pli,,
*.pln,,
*.pls,,
*.ply,,
*.pm,,
*.pmd,,
*.png,,
*.pnm,,
*.pns,,
*.pod,,
*.pol,,
*.por,,
*.pot,,
*.pov,,
*.pp,,
*.ppj,,
*.ppk,,
*.ppm,,
*.ppp,,
*.pps,,
*.ppt,,document
*.pptm,,document
*.pptx,,document
*.prc,,
*.prg,,
*.prg,,executable
*.prison,,
*.pro,,
*.procreate,,
*.profile.gbx,,
*.prproj,,
*.prt,,
*.prz,,
*.ps,,
*.ps1,,executable
*.ps1xml,,
*.psb,,
*.psc1,,
*.psd,,
*.psd1,,
*.psf,,
*.psfxl,,
*.psm,,executable
*.psm1,,executable
*.psmodel,,
*.psp,,
*.pss,,
*.pst,,
*.ptb,,
*.ptf,,
*.pts,,
*.ptx,,
*.pub,,
*.pvd,,
*.pvs,,
*.pwi,,
*.px,,
*.pxm,,
*.pxr,,
*.pxz,,
*.py,,
*.pyc,,
*.pyk,,
*.pyo,,
*.pyt,,
*.pyw,,
*.qcow,,
*.qcow2,,
*.qed,,
*.qfx,,
*.qif,,
*.qpw,,
*.quox,,
*.qxd,,
*.r,,
*.r3d,,
*.ra,,
*.radix-64,,
*.rag,,
*.rags,,
*.raku,,
*.rakudoc,,
*.rakumod,,
*.rakutest,,
*.ram,,
*.rar,,archive
*.raw,,
*.rax,,
*.rb,,
*.rbxl,,
*.rbxlx,,
*.rbxm,,
*.rbxmx,,
*.rc,,
*.rc2,,
*.rct,,
*.rdp,,
*.reapeaks,,
*.rec,,
*.red,,
*.reds,,
*.rel,,
*.renderman,,
*.rep,,
*.replay.gbx,,
*.restructuredtext,,
*.resx,,
*.rfa,,
*.rgb,,
*.rin,,
*.ris,,
*.rise,,
*.rka,,
*.rkt,,
*.rktl,,
*.rle,,
*.rlf,,
*.rll,,
*.rm,,
*.rmj,,
*.root,,
*.roq,,
*.rpm,,
*.rpp,,
*.rpp-bak,,
*.rpt,,
*.rs,,
*.rss,,
*.rtf,,
*.rtf,,document
*.run,,executable
*.rvm,,
*.rvt,,
*.rwx,,
*.rxf,,
*.s*p,,
*.s,,
*.s12,,
*.s19,,
*.s1es,,
*.s3m,,
*.s6,,
*.sac,,
*.sam,,
*.sav,,
*.sb,,
*.sb2,,
*.sb3,,
*.sbml,,
*.sc2,,
*.sc4lot,,
*.sc4model,,
*.scad,,
*.scala,,
*.scbtex,,
*.scd,,
*.scdoc,,
*.sce,,
*.scf,,
*.sci,,
*.scm,,
*.scores.gbx,,
*.scp-ecg,,
*.scpt,,
*.scptd,,
*.scr,,executable
*.script.txt,,
*.scskin,,
*.sct,,executable
*.scworld,,
*.sd,,
*.sd7,,
*.sdb,,
*.sdc,,
*.sdd,,
*.sdf,,
*.sdi,,
*.sdl,,
*.sdw,,
*.sdxf,,
*.se,,
*.sea,,
*.seed,,
*.segy,,
*.sen,,
*.ses,,
*.sfc,,
*.sfd,,
*.sff,,
*.sfk,,
*.sfl,,
*.sg,,
*.sgi,,
*.sgm,,
*.sh,,executable
*.shf,,
*.shn,,
*.show,,
*.shp,,
*.shtml,,
*.shw,,
*.sia,,
*.sib,,
*.sid,,
*.sigif,,
*.silo,,
*.simcity,,
*.sis,,
*.sisx,,
*.sitx,,
*.skb,,
*.skc,,
*.skd,,
*.skf,,
*.skg,,
*.ski,,
*.skk,,
*.skm,,
*.sko,,
*.skp,,
*.skq,,
*.sks,,
*.skt,,
*.skz,,
*.sla,,
*.sldasm,,
*.slddrw,,
*.sldprt,,
*.slk,,
*.sln,,
*.slp,,
*.smc,,
*.smd,,
*.smdl,,
*.smes,,
*.smi,,
*.smk,,
*.smp,,
*.sms,,
*.smzip,,
*.sna,,
*.snd,,
*.snf,,
*.sng,,
*.snp,,
*.so,,
*.sol,,
*.solid.gbx,,
*.solitairetheme8,,
*.spc,,
*.spef,,
*.spi,,
*.spin,,
*.spwn,,
*.spx,,
*.sq,,
*.sqf,,
*.sql,,
*.sqlite,,
*.sqm,,
*.sra,,
*.srec,,
*.srm,,
*.srt,,
*.ssh,,
*.sspss,,
*.sst2,,
*.stc,,
*.std,,
*.step,,
*.stf,,
*.sti,,
*.stil,,
*.stk,,
*.stl,,
*.stm,,
*.stockholm,,
*.str,,
*.stw,,
*.sty,,
*.suf,,
*.sv,,
*.svg,,
*.svi,,
*.swa,,
*.swf,,
*.swg,,
*.swiss-prot,,
*.swm,,
*.sxc,,
*.sxd,,
*.sxi,,
*.sxm,,
*.sxw,,
*.syjs,,
*.sym,,
*.syn,,
*.sypy,,
*.systemconfig.gbx,,
*.szh,,
*.szs,,
*.t64,,
*.tab,,
*.tak,,
*.tap,,
*.tar,,
*.tar.gz,,
*.targa,,
*.tax,,
*.tb,,
*.tc,,
*.tcl,,
*.tct,,
*.tcw,,
*.tdf,,
*.temp,,
*.tex,,
*.texture.gbx,,
*.tfm,,
*.tga,,
*.tgax,,
*.thd,,
*.thmx,,
*.thp,,
*.tib,,
*.tif,,
*.tiff,,
*.tlb,,
*.tlf,,
*.tmedclassic.gbx,,
*.tmp,,
*.tns,,
*.topc,,
*.tpc,,
*.tpl,,
*.trackmaniavehicle.gbx,,
*.troff,,
*.ts,,
*.tsv,,
*.tta,,
*.ttc,,
*.ttf,,
*.txm,,
*.txt,,
*.tzx,,
*.u,,
*.u3d,,
*.u64,,
*.uax,,
*.udl,,
*.ufo,,
*.uha,,
*.umx,,
*.unr,,
*.unv,,
*.uof,,
*.uoml,,
*.upf,,
*.upk,,
*.url,,
*.usa,,
*.usd,,
*.usda,,
*.usdc,,
*.usdz,,
*.usld,,
*.ust,,
*.usx,,
*.ut2,,
*.ut3,,
*.utx,,
*.uue,,
*.uxx,,
*.v,,
*.v2d,,
*.v64,,
*.vap,,
*.vb,,
*.vbg,,
*.vbox-extpack,,
*.vbp,,
*.vbproj,,
*.vbs,,executable
*.vbx,,
*.vc,,
*.vc6,,
*.vcd,,
*.vcf,,
*.vcls,,
*.vcproj,,
*.vda,,
*.vdhx,,
*.vdi,,
*.vdoc,,
