file_name,metadata_category,metadata_description,metadata_confidence,metadata_common,metadata_execution,metadata_InitialAccess,metadata_exec,metadata_windowsbuiltin,metadata_comment,metadata_chromeplatform,metadata_chromedangerlevel,metadata_chromeautoopenhint,metadata_container,metadata_businesscase,metadata_execute,metadata_code,metadata_tags,metadata_reference
.sh,Code,Shell script,High,,,,,,,PLATFORM_TYPE_ANY,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.dll,Code,DLL File,High,True,,,,True,,PLATFORM_TYPE_WINDOWS,DANGEROUS,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.asp,Code,Active Server Pages,,,,,,,Web file that can contain and execute server-side script.,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.aspx,Code,,,,,,,,"Web file that can execute server-side script, primarily in .NET.",,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.asax,Code,,,,,,,,,,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ashx,Code,,,,,,,,,,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.btm,Code,,,,,,,,,,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.cla,Code,,,,,,,,,,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.class,Code,,,,,,,,,PLATFORM_TYPE_ANY,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.csh,Code,,,,,,,,,PLATFORM_TYPE_ANY,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ksh,Code,,,,,,,,,PLATFORM_TYPE_ANY,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.pl,Code,,,,,,,,,PLATFORM_TYPE_LINUX,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.plg,Code,,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.wml,Code,,,,,,,,,,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xbap,Code,,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xdp,Code,,,,,,,,,,,,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.fxp,Code,Microsoft FoxPro Compiled Source.,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.vhd,Container,Hyper-V Virtual Hard Disk files,,,,,,True,"Disk image file. Doesn't execute, but the contents inside, once mounted, might contain malicious files or software.",PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.vhdx,Container,Hyper-V Virtual Hard Disk files,,,,,,True,"Similar concerns as .vhd. Contents inside, once mounted, might be harmful.",PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.vsmacros,Development,Microsoft Visual Studio Binary-based Macro Project.,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.pdf,Document,PDF File,High,,,,,True,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,True,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.oxps,Document,Open XML Paper Specification,,,,,,True,"Essentially a PDF alternative from Microsoft. While generally safe, be wary of embedded content.",,,,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.rtf,Document,Rich Text Format,,,,sometimes,,True,Can potentially contain embedded objects or links that could lead to malicious content or actions when opened.,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,True,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xps,Document,XML Paper Specification,,,,,,True,"Essentially a PDF alternative from Microsoft. While generally safe, be wary of embedded content.",,,,,True,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.uue,Encoding,Uuencode (Unix-to-Unix encoding) encoded file,,,,,,,"Used for encoding binary data to text. While the format itself doesn't execute, the decoded content might be malicious.",PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.b64,Encoding,Base64 encoded file,,,,,,,"Used for encoding binary data to text. While the format itself doesn't execute, the decoded content might be malicious.",PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.exe,Executable,Windows executable file,High,True,True,sometimes,often,True,"Always available, except if application whitelistening is active. Commonly blocked.",PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.com,Executable,Command File for DOS,High,,True,sometimes,often,True,"Always available, except if application whitelistening is active. Commonly blocked.",PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.scr,Executable,Windows Screen Saver,High,,True,,,True,Just an .exe,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.bat,Executable,Batch script file for cmd.exe,High,,True,often,often,True,"Always available, except if application whitelistening is active. Commonly blocked.",PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.cmd,Executable,Windows Command Script,High,,True,,sometimes,True,Just a .bat,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msi,Executable,Windows Installer Package,High,True,True,sometimes,sometimes,True,"While meant for installations, it can be crafted to deploy malicious software.",PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msix,Executable,Windows Installer Package,,,True,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msixbundle,Executable,Windows Installer Package,,,True,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.drv,Executable,Windows Executable,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.scf,Executable,Windows Explorer Command,,,True,,,True,A Windows Explorer command file. Could pass potentially dangerous commands to Windows Explorer.,PLATFORM_TYPE_WINDOWS,DANGEROUS,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.shb,Executable,Windows Document Shortcut,,,True,,,True,Can be used to execute documents or applications.,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.swf,Executable,Flash file,,,True,,,False,Flash files downloaded locally can sometimes access the local filesystem,PLATFORM_TYPE_ANY,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.sys,Executable,System executable,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.fon,Font,Font file,,,,,,,uses Portable Executable or New Executable format. Not supposed to contain executable code.,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.html,HTML,HTML file,High,True,,,,True,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.htm,HTML,HTML file,High,True,,,,True,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.svg,Image,Scalable Vector Graphics,,,,,,,An XML-based image format that can contain embedded JavaScript. Will open in IE.,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.prg,Misc,Program file,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.cfg,Misc,,,,True,,,,,PLATFORM_TYPE_WINDOWS,DANGEROUS,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.grp,Misc,MSProgramGroup (?),,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ins,Misc,Microsoft IIS Internet Communication Settings.,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.inx,Misc,InstallShield Compiled Script,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.isu,Misc,InstallShield Uninstaller Script,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.isp,Misc,Microsoft IIS Internet Service Provider Settings.,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.rgs,Misc,Registry Script Windows,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.sct,Misc,Microsoft Windows Script Component. Microsoft FoxPro Screen.,,,,,,,A Script Component is a COM component created using script.,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xnk,Misc,Microsoft Exchange Public Folder Shortcut,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.doc,Office,Office Word Doc (with macros),High,True,True,often,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,True,True,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ppt,Office,Office Powerpoint Doc (with macros),High,True,True,sometimes,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,True,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xls,Office,Office Execel Doc (with macros),High,True,True,sometimes,,,,PLATFORM_TYPE_UNKNOWN,NOT_DANGEROUS,UNKNOWN,,True,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
